,DATE,LOC,PER,ORG,Mean
kin,0.9727798104286194,0.9887607097625732,0.9916132092475891,0.9906046986579895,0.9859396070241928
lug,0.9694677591323853,0.9821629524230957,0.9893635511398315,0.9944971799850464,0.9838728606700897
ibo,0.9807699918746948,0.9857640266418457,0.9891387224197388,0.9781425595283508,0.9834538251161575
sna,0.9627440571784973,0.9906851649284363,0.9901599884033203,0.9902079105377197,0.9834492802619934
xho,0.9850013256072998,0.9845510721206665,0.9750193357467651,0.9868290424346924,0.982850193977356
hau,0.9698125720024109,0.9824855327606201,0.9900961518287659,0.9870359897613525,0.9823575615882874
twi,0.9754452705383301,0.9845631718635559,0.9810795783996582,0.9853825569152832,0.9816176444292068
nya,0.9675701856613159,0.9799384474754333,0.9896214008331299,0.9891020655632019,0.9815580248832703
luo,0.9770604968070984,0.980790913105011,0.9801957607269287,0.9823368787765503,0.9800960123538971
wol,0.9738760590553284,0.9795705080032349,0.9821174144744873,0.9845855236053467,0.9800373762845993
zul,0.9691668748855591,0.9736759662628174,0.9842608571052551,0.992339015007019,0.9798606783151627
tsn,0.9790980219841003,0.9733601808547974,0.982536792755127,0.9823336005210876,0.9793321490287781
mos,0.959036648273468,0.9821464419364929,0.9816510677337646,0.980559766292572,0.9758484810590744
ewe,0.9678539037704468,0.9718876481056213,0.9701903462409973,0.9787740707397461,0.9721764922142029
bam,0.9732497930526733,0.969408392906189,0.9764251112937927,0.9549691677093506,0.9685131162405014
fon,0.9582705497741699,0.967441737651825,0.9668502807617188,0.96353679895401,0.9640248417854309
bbj,0.9588277339935303,0.9493125081062317,0.9683907628059387,0.9668655395507812,0.9608491361141205
yor,0.9570554494857788,0.9517041444778442,0.9521987438201904,0.9667441844940186,0.956925630569458
pcm,0.9226069450378418,0.952213704586029,0.9622493982315063,0.9591216444969177,0.9490479230880737
swa,0.9278467297554016,0.9366934895515442,0.9490679502487183,0.9503055214881897,0.9409784227609634
