layer,best_config,tokens,ctx_window,score_mean_over_langs,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
1,config_3_clstrue_ctxtrue,500,3,0.9999132178723812,0.9997306913137436,0.999945878982544,0.9998694211244584,0.9997505247592926,0.9998908638954164,0.9998885989189148,0.9999807924032212,0.999988317489624,0.999945029616356,0.9998831450939178,0.999972864985466,0.9999600648880004,0.9999776482582092,0.9999210387468338,0.9999632388353348,0.9999200850725174,0.9999147057533264,0.9999443590641022,0.9998764395713806,0.9999406486749648
2,config_3_clstrue_ctxtrue,500,2,0.9999913088977337,0.9999830424785614,0.9999895095825196,0.999990537762642,0.99998177587986,0.9999861270189284,0.9999894052743912,0.9999975711107254,0.9999967962503432,0.9999956488609314,0.9999890774488448,0.9999971985816956,0.9999880194664,0.9999971240758896,0.999987319111824,0.9999952614307404,0.9999901056289672,0.9999938160181046,0.9999948889017104,0.9999884068965912,0.999994546175003
3,config_3_clstrue_ctxtrue,500,3,0.9999922566115856,0.9999908804893494,0.9999908357858658,0.9999902099370956,0.999988168478012,0.999992161989212,0.9999935030937196,0.999997153878212,0.9999962747097016,0.9999934136867524,0.999992847442627,0.9999961405992508,0.9999801814556122,0.9999968260526656,0.9999855905771255,0.9999927431344986,0.9999917894601822,0.9999941438436508,0.9999961256980896,0.9999906271696092,0.9999955147504808
4,config_3_clstrue_ctxtrue,500,3,0.9999963529407978,0.9999962151050568,0.9999963194131852,0.9999960064888,0.9999957531690598,0.9999935477972032,0.9999979436397552,0.9999971389770508,0.9999978095293044,0.9999966472387314,0.999997466802597,0.999997451901436,0.9999930709600447,0.9999955594539642,0.999994859099388,0.9999966770410538,0.999996080994606,0.999997541308403,0.9999963343143464,0.9999962896108628,0.9999983459711076
5,config_3_clstrue_ctxtrue,500,2,0.9999882139265537,0.9999815225601196,0.999986320734024,0.9999886602163316,0.9999778717756272,0.9999862164258956,0.9999888986349106,0.9999937415122986,0.9999939948320388,0.9999896436929704,0.9999885559082032,0.9999932497739792,0.9999843835830688,0.999994084239006,0.9999842047691344,0.999990463256836,0.9999841600656508,0.9999888390302658,0.9999917298555374,0.9999874383211136,0.9999902993440628
6,config_3_clstrue_ctxtrue,500,2,0.9999993614852428,0.9999989420175552,0.9999991953372956,0.9999994337558746,0.9999987483024596,0.9999993443489076,0.9999993592500688,0.9999996721744536,0.9999997317790984,0.9999994486570358,0.9999993592500688,0.9999996572732924,0.9999991208314896,0.9999997466802596,0.9999991357326508,0.9999995082616806,0.9999990910291672,0.9999994486570358,0.9999995082616806,0.9999993294477464,0.9999994486570358
7,config_3_clstrue_ctxtrue,300,1,0.999996954202652,0.99999729792277,0.99999604622523,0.9999978144963584,0.9999966820081077,0.9999951918919882,0.9999976555506388,0.9999968409538268,0.9999962250391642,0.9999966820081077,0.999997854232788,0.99999737739563,0.999997079372406,0.9999979535738628,0.9999974767367044,0.999996821085612,0.9999978144963584,0.999994695186615,0.9999976555506388,0.9999964038530984,0.9999975164731344
8,config_3_clstrue_ctxtrue,400,2,0.9999957213799158,0.9999939799308776,0.9999936620394388,0.9999971588452656,0.9999964833259584,0.9999936819076538,0.9999961654345194,0.9999977946281432,0.99999737739563,0.999997079372406,0.9999919931093852,0.9999975760777792,0.9999950925509136,0.99999729792277,0.999994178613027,0.999996781349182,0.9999960660934448,0.9999967614809672,0.9999975363413492,0.9999911387761434,0.9999966224034628
9,config_3_clstrue_ctxtrue,400,2,0.9999985555807749,0.999996781349182,0.9999988079071044,0.9999985297520956,0.9999991655349731,0.999998966852824,0.9999988675117492,0.9999987880388896,0.9999989072481792,0.9999981919924418,0.999998410542806,0.9999990264574686,0.9999988277753196,0.99999870856603,0.999998966852824,0.9999989867210388,0.9999987483024596,0.999998410542806,0.9999988873799642,0.9999969204266866,0.9999982118606568
10,config_3_clstrue_ctxtrue,500,1,0.999996237953504,0.9999917149543762,0.999994456768036,0.999995211760203,0.9999971191088358,0.9999910394350688,0.9999983310699464,0.9999974171320596,0.999997099240621,0.9999959270159404,0.9999959667523702,0.999998112519582,0.9999966025352478,0.9999982913335164,0.999996781349182,0.9999954303105671,0.9999976555506388,0.9999978144963584,0.9999962051709492,0.9999966224034628,0.9999969601631165
11,config_3_clstrue_ctxtrue,500,1,0.999980397025744,0.9999890724817913,0.9999819795290628,0.9999903440475464,0.9999759793281556,0.9999876221021016,0.9999807079633076,0.9999822775522867,0.9999737938245138,0.9999672373135884,0.9999882976214092,0.9999737938245138,0.9999668796857198,0.9999860326449076,0.9999645948410034,0.999989906946818,0.999989926815033,0.9999857743581136,0.9999822974205016,0.9999598860740662,0.999991536140442
12,config_1_clstrue_ctxfalse,500,0,0.9996650407711666,0.99982488155365,0.99978373448054,0.9998857378959656,0.9990413586298624,0.9990995526313782,0.9998302658398946,0.99993097782135,0.9998946984608968,0.999906063079834,0.9998342593510946,0.9998995860417684,0.998080313205719,0.9997471968332926,0.9998156627019248,0.9996857444445292,0.9998051921526592,0.9998873869578044,0.9997105201085408,0.9997926354408264,0.999845047791799
