,ORG,DATE,LOC,PER
bam,0.9649640321731567,,0.9772355556488037,0.985536515712738
bbj,0.9828901886940002,,0.9445561170578003,0.9846740961074829
ewe,0.9800096750259399,,0.9714690446853638,0.9789182543754578
fon,0.9810199737548828,,0.9683407545089722,0.9761622548103333
hau,0.966680645942688,,0.9311115741729736,0.9786747694015503
ibo,0.9796054363250732,,0.9477126598358154,0.9902375936508179
kin,0.9649839401245117,,0.9631254076957703,0.9809194207191467
lug,0.9596937298774719,,0.9745932817459106,0.978508710861206
luo,0.963765025138855,,0.9705175757408142,0.949781596660614
mos,0.9812658429145813,,0.9718995094299316,0.9748022556304932
nya,0.9750400185585022,,0.9738545417785645,0.9897795915603638
pcm,0.9531378746032715,,0.9729354977607727,0.9799841642379761
sna,0.9672672748565674,,0.9677527546882629,0.9723801612854004
swa,0.9484007954597473,,0.9722437262535095,0.9841705560684204
tsn,0.9764195680618286,,0.96689373254776,0.976052463054657
twi,0.9841870665550232,,0.9694862961769104,0.9838529229164124
wol,0.9714712500572205,,0.9583592414855957,0.9864685535430908
xho,0.9738248586654663,,0.9655278921127319,0.9592723250389099
yor,0.9712287187576294,,0.9250921010971069,0.9697149395942688
zul,0.9794615507125854,,0.9594501852989197,0.980807363986969
