,PER,ORG,DATE,LOC
bam,0.9886278510093689,0.9665714502334595,,0.9832446575164795
bbj,0.9891781806945801,0.9861539006233215,,0.9646270275115967
ewe,0.9858967065811157,0.9877684116363525,,0.9792985916137695
fon,0.9836299419403076,0.9851862788200378,,0.9753893613815308
hau,0.9810342788696289,0.9754870533943176,,0.9361304640769958
ibo,0.9928483963012695,0.9844609498977661,,0.9642477631568909
kin,0.984541654586792,0.9739183783531189,,0.9746043086051941
lug,0.9800776243209839,0.9683985114097595,,0.982153594493866
luo,0.9839492440223694,0.9710127115249634,,0.9808967113494873
mos,0.9841372966766357,0.9858161211013794,,0.9798852205276489
nya,0.992057204246521,0.9831534624099731,,0.9814341068267822
pcm,0.9859396815299988,0.965538501739502,,0.9806126952171326
sna,0.9785714745521545,0.9742202758789062,,0.9765328168869019
swa,0.9880240559577942,0.9633577466011047,,0.9807458519935608
tsn,0.9849629998207092,0.9828271865844727,,0.9773796796798706
twi,0.9878955483436584,0.9882813096046448,,0.9772394299507141
wol,0.9899276494979858,0.980640172958374,,0.967308521270752
xho,0.9731392860412598,0.9807149171829224,,0.9733855724334717
yor,0.9844850897789001,0.9795612692832947,,0.9517428278923035
zul,0.9855036735534668,0.9843167066574097,,0.9771265983581543
