,DATE,ORG,LOC,PER
bam,,0.9659271240234375,0.9774452447891235,0.9906051158905029
bbj,,0.9870060682296753,0.9599725604057312,0.9884390234947205
ewe,,0.9924170970916748,0.9785606265068054,0.9875175952911377
fon,,0.9851034283638,0.9713453054428101,0.9841644167900085
hau,,0.9784637689590454,0.9598141312599182,0.9895366430282593
ibo,,0.9917923808097839,0.9659103155136108,0.9919150471687317
kin,,0.991542637348175,0.9895480871200562,0.9855373501777649
lug,,0.9720664024353027,0.9881089329719543,0.9872668385505676
luo,,0.9859955310821533,0.9874347448348999,0.9841927289962769
mos,,0.989816427230835,0.9737647175788879,0.9860771298408508
nya,,0.9903254508972168,0.9723697900772095,0.9822570085525513
pcm,,0.9760041236877441,0.9858776926994324,0.9881784915924072
sna,,0.9858903884887695,0.9700185060501099,0.987183690071106
swa,,0.9817253947257996,0.9911278486251831,0.9861656427383423
tsn,,0.9849081039428711,0.9789324998855591,0.9856656789779663
twi,,0.9935436844825745,0.9883458018302917,0.9900847673416138
wol,,0.9889112114906311,0.9607516527175903,0.9918248653411865
xho,,0.9842965602874756,0.9709718823432922,0.9707101583480835
yor,,0.9911747574806213,0.9645859003067017,0.9827278852462769
zul,,0.987712025642395,0.9774397611618042,0.9819706678390503
