,LOC,PER,ORG,DATE,Mean
zul,0.9999994039535522,,,,0.9999994039535522
ewe,,0.9999978542327881,0.9999988675117493,,0.9999983608722687
bam,0.9999998807907104,,0.9999961256980896,,0.9999980032444
lug,,0.9999980330467224,0.9999964833259583,,0.9999972581863403
wol,0.9999974966049194,0.9999996423721313,0.9999929666519165,,0.9999967018763224
mos,,0.9999949932098389,0.9999983906745911,,0.999996691942215
tsn,0.9999937415122986,,0.9999993443489075,,0.999996542930603
yor,0.999995231628418,,0.9999976754188538,,0.9999964535236359
nya,0.9999955892562866,,0.9999969005584717,,0.9999962449073792
twi,0.9999920725822449,0.9999967217445374,0.9999997019767761,,0.9999961654345194
kin,0.9999947547912598,0.9999953508377075,0.9999936819076538,,0.9999945958455404
fon,0.9999833703041077,0.9999984502792358,0.9999986886978149,,0.9999935030937195
swa,0.9999975562095642,0.9999974966049194,0.9999836087226868,,0.9999928871790568
xho,0.9999881386756897,0.9999971389770508,,,0.9999926388263702
bbj,0.9999959468841553,,0.9999867081642151,,0.9999913275241852
sna,0.9999969601631165,0.999984622001648,,,0.9999907910823822
luo,,0.9999775290489197,0.9999964237213135,,0.9999869763851166
hau,0.9999892115592957,0.9999433159828186,0.9999977350234985,,0.9999767541885376
ibo,0.999998927116394,,0.9999326467514038,,0.9999657869338989
pcm,0.9999912977218628,0.9998789429664612,,,0.999935120344162
