,LOC,ORG,DATE,PER
bam,0.9999818801879883,0.9999724626541138,0.9999897480010986,0.9999868869781494
bbj,0.9999581575393677,0.9999946355819702,0.9999810457229614,0.999991238117218
ewe,0.9999904632568359,0.9999940991401672,0.9999759793281555,0.9999829530715942
fon,0.9999685287475586,0.9999925494194031,0.9999833703041077,0.9999822974205017
hau,0.9999678134918213,0.9999861717224121,0.999946117401123,0.9999796748161316
ibo,0.9999540448188782,0.9999918341636658,0.9999907612800598,0.9999916553497314
kin,0.9999945163726807,0.999993622303009,0.999984622001648,0.9999722242355347
lug,0.9999959468841553,0.9999834299087524,0.9999675750732422,0.999987006187439
luo,0.9999889135360718,0.9999874830245972,0.9999905228614807,0.999983012676239
mos,0.9999820590019226,0.9999918341636658,0.9999645352363586,0.9999912977218628
nya,0.9999701380729675,0.9999883770942688,0.9999709129333496,0.9999919533729553
pcm,0.9999830722808838,0.999978244304657,0.9999143481254578,0.9999817609786987
sna,0.9999677538871765,0.9999829530715942,0.9999873042106628,0.9999797344207764
swa,0.9999942183494568,0.9999773502349854,0.9999406933784485,0.9999802708625793
tsn,0.9999901652336121,0.9999871850013733,0.9999883770942688,0.9999840259552002
twi,0.9999929666519165,0.9999937415122986,0.9999911785125732,0.9999886751174927
wol,0.999957263469696,0.9999840259552002,0.9999675750732422,0.9999944567680359
xho,0.9999697208404541,0.9999852776527405,0.9999622106552124,0.9999803900718689
yor,0.9999651908874512,0.9999847412109375,0.9999849200248718,0.9999803304672241
zul,0.9999886751174927,0.9999889135360718,0.9999836683273315,0.9999813437461853
