,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9774918556213379,0.21217139065265656,0.9774778485298157,0.9452589750289917,0.3308809697628021,0.9452194571495056,0.958213746547699,0.28908923268318176,0.9581900835037231,0.9667115211486816,0.25802531838417053,0.96668541431427,0.6213625073432922
bbj,0.9735356569290161,0.23006287217140198,0.9735299348831177,0.9082887172698975,0.42827871441841125,0.9082196354866028,0.9786684513092041,0.2065511792898178,0.9786540865898132,0.9484623074531555,0.32105395197868347,0.9484251737594604,0.6903663873672485
ewe,0.9715909361839294,0.2383657693862915,0.9715822339057922,0.9615678787231445,0.2772443890571594,0.961539626121521,0.9841246604919434,0.17818816006183624,0.9841161370277405,0.9451554417610168,0.3311939537525177,0.9451130628585815,0.869403600692749
fon,0.9763902425765991,0.21730083227157593,0.9763779044151306,0.9332640767097473,0.3653383255004883,0.9332147836685181,0.9843316078186035,0.17702282965183258,0.9843215942382812,0.9556631445884705,0.297781378030777,0.9556299448013306,0.8292508125305176
hau,0.9716430902481079,0.23814697563648224,0.9716233611106873,0.9477095007896423,0.32339006662368774,0.9476709365844727,0.9805470108985901,0.1972467005252838,0.9805319309234619,0.9266855120658875,0.3829219341278076,0.9266348481178284,0.9018737077713013
ibo,0.9803981781005859,0.19799937307834625,0.980384111404419,0.9157731533050537,0.41043156385421753,0.9157097935676575,0.9806308150291443,0.1968216598033905,0.9806190729141235,0.9820838570594788,0.18929457664489746,0.9820694923400879,0.6540140509605408
kin,0.9751438498497009,0.2229633331298828,0.9751225709915161,0.9641324877738953,0.26783445477485657,0.964106023311615,0.9839448928833008,0.1791929453611374,0.983934223651886,0.9761577844619751,0.21836762130260468,0.9761383533477783,0.9847080111503601
lug,0.9786007404327393,0.20687825977802277,0.9785900712013245,0.9757079482078552,0.22041840851306915,0.9756901860237122,0.9706355929374695,0.24234037101268768,0.9706229567527771,0.9516195058822632,0.31106439232826233,0.9515836834907532,0.8838503360748291
luo,0.97288978099823,0.23285312950611115,0.9728707075119019,0.9713262319564819,0.23947371542453766,0.971306324005127,0.9794688820838928,0.20263907313346863,0.9794546961784363,0.9706393480300903,0.24232524633407593,0.9706181883811951,0.9493390917778015
mos,0.9795869588851929,0.20205561816692352,0.9795750379562378,0.9416807293891907,0.34152379631996155,0.9416375756263733,0.9822767972946167,0.18827295303344727,0.9822720885276794,0.9397024512290955,0.34726861119270325,0.9396528601646423,0.7195044159889221
nya,0.984207034111023,0.17772474884986877,0.9841996431350708,0.9379704594612122,0.3522202670574188,0.9379246234893799,0.9789957404136658,0.20496033132076263,0.9789814352989197,0.9557219743728638,0.2975836992263794,0.9556894302368164,0.7743610143661499
pcm,0.9778409600257874,0.21051961183547974,0.9778333902359009,0.9592297077178955,0.2855530381202698,0.9592000842094421,0.9516310691833496,0.3110276460647583,0.9515999555587769,0.8719173669815063,0.5061277747154236,0.8718238472938538,0.7131377458572388
sna,0.9718360304832458,0.23733548820018768,0.9718276858329773,0.9439447522163391,0.33482953906059265,0.9439042210578918,0.9781370759010315,0.2091081589460373,0.9781247973442078,0.9718313813209534,0.23735491931438446,0.9718084931373596,0.723818838596344
swa,0.9724580645561218,0.23469947278499603,0.9724411368370056,0.9743883609771729,0.22632576525211334,0.9743695855140686,0.9556028246879578,0.2979840636253357,0.9555705785751343,0.8870992064476013,0.47518590092658997,0.887016236782074,0.875670850276947
tsn,0.9782566428184509,0.20853537321090698,0.9782443046569824,0.9602898955345154,0.2818159759044647,0.9602607488632202,0.9802075624465942,0.19895923137664795,0.9801936149597168,0.969539999961853,0.2468203753232956,0.9695152640342712,0.8948689103126526
twi,0.9789934158325195,0.20497141778469086,0.9789865016937256,0.9750617146492004,0.2233305424451828,0.9750443696975708,0.98757004737854,0.1576710343360901,0.9875635504722595,0.9647173285484314,0.2656414806842804,0.9646885395050049,0.9681472778320312
wol,0.9821763634681702,0.1888050138950348,0.9821639060974121,0.9225807785987854,0.3934950530529022,0.9225229024887085,0.9791078567504883,0.20441222190856934,0.9790934920310974,0.9662796258926392,0.25969433784484863,0.9662520289421082,0.9022315144538879
xho,0.9607244729995728,0.28026968240737915,0.9607056975364685,0.9427375197410583,0.33841609954833984,0.9426957368850708,0.9739910960197449,0.22807453572750092,0.9739724397659302,0.9554928541183472,0.2983531057834625,0.9554568529129028,0.7044309973716736
yor,0.9736140370368958,0.22972141206264496,0.9735915064811707,0.892620861530304,0.4634203016757965,0.8925419449806213,0.9756700396537781,0.22058996558189392,0.9756619930267334,0.9636583924293518,0.26959872245788574,0.9636291265487671,0.6627554893493652
zul,0.9717704057693481,0.23761184513568878,0.9717459678649902,0.9550662040710449,0.29977941513061523,0.9550336003303528,0.9872881174087524,0.15944963693618774,0.9872792363166809,0.9635874629020691,0.26986148953437805,0.9635591506958008,0.7962749004364014
