,PER,LOC,ORG,DATE,SWD_mean
bam,0.007343094131556427,0.008929041442570451,0.009583711055256572,0.006704181116219843,0.008140006936400823
bbj,0.0058166392104794795,0.011478050409095886,0.005447315044420975,0.00787419623770802,0.00765405022542609
ewe,0.006747788659595244,0.008894480874914734,0.0054317068011187075,0.008304127291467012,0.007344525906773924
fon,0.00619407640897407,0.009140692692199082,0.005812033198708377,0.007689603871767758,0.007209101542912322
hau,0.006592913230633712,0.011072698401221714,0.007450879767930019,0.009462718230679457,0.008644802407616226
ibo,0.005483178492340812,0.00965042107145564,0.005621148927275499,0.005086341617698054,0.006460272527192501
kin,0.006502141115561244,0.007732786136330105,0.005437557554614614,0.0049547555227036355,0.0061568100823024
lug,0.00725959569308543,0.0068231524705879565,0.009337359003893653,0.007511656766837405,0.007732940983601111
luo,0.006326308213374432,0.007872261734064523,0.005805616652651224,0.006023068304784829,0.006506813726218752
mos,0.006070281692700519,0.01010490352564375,0.005183350901916128,0.008538618058992142,0.007474288544813135
nya,0.005432239440324338,0.010009287160755775,0.006449434696151002,0.006551329677222384,0.007110572743613375
pcm,0.007045153649414715,0.007722551012193435,0.007944054606468853,0.010785433999899396,0.0083742983169941
sna,0.007665402195470961,0.010311393692063575,0.00691256884510949,0.00651855725209316,0.007851980496184296
swa,0.007456688224010577,0.006855846078906325,0.009129268300057447,0.010375874211604241,0.008454419203644647
tsn,0.006654005007476371,0.006854229630789632,0.005798141322884476,0.005222104612130352,0.006132120143320208
twi,0.005977725308184745,0.008614464099991892,0.004728936004994466,0.006461053205384815,0.006445544654638979
wol,0.006112745127211383,0.010549949389314861,0.0055029900549925514,0.006150429147055547,0.007079028429643586
xho,0.007824273739970522,0.008952183904057165,0.00629772468118972,0.0076017909223082825,0.007668993311881422
yor,0.007438296172040282,0.009482058660069015,0.007686237518100825,0.0068065534560446395,0.00785328645156369
zul,0.006189879185058089,0.008880334558398317,0.005511242704415054,0.005570156020894501,0.00653790311719149
