,ORG,DATE,LOC,PER,Mean
twi,0.9847776293754578,,0.9720695614814758,0.9872021675109863,0.98134978612264
mos,0.9799004793167114,,0.9675341844558716,0.9833052754402161,0.976913313070933
nya,0.9746394157409668,,0.9680631756782532,0.9869445562362671,0.9765490492184957
wol,0.976604163646698,,0.9601994156837463,0.9855011105537415,0.9741015632947286
fon,0.9802542924880981,,0.9605861306190491,0.9809017777442932,0.9739140669504801
sna,0.9768137335777283,,0.965440034866333,0.9770658016204834,0.9731065233548483
zul,0.9823762774467468,,0.9549060463905334,0.9815521240234375,0.9729448159535726
tsn,0.9764214158058167,,0.9604832530021667,0.9819080233573914,0.9729375640551249
kin,0.9798522591590881,,0.9609503746032715,0.9770840406417847,0.9726288914680481
ewe,0.9774888753890991,,0.9638369679450989,0.9764107465744019,0.9725788633028666
ibo,0.9786024689674377,,0.9544482827186584,0.98362135887146,0.9722240368525187
lug,0.9654580950737,,0.9659655690193176,0.9794876575469971,0.9703037738800049
luo,0.961649477481842,,0.9714996814727783,0.9768274426460266,0.969992200533549
bam,0.9552698135375977,,0.9718499779701233,0.9811999797821045,0.9694399237632751
bbj,0.9758920669555664,,0.943479061126709,0.9789962768554688,0.9661224683125814
xho,0.9748979210853577,,0.958134651184082,0.9630756378173828,0.9653694033622742
hau,0.9743066430091858,,0.9393043518066406,0.9763164520263672,0.9633091489473978
pcm,0.948866069316864,,0.9543303847312927,0.980911374092102,0.9613692760467529
yor,0.9755515456199646,,0.9333347678184509,,0.9544431567192078
swa,0.9504494071006775,,0.94050133228302,0.970005989074707,0.9536522428194681
