,DATE,LOC,ORG,PER
bam,0.9735658168792725,0.9597568511962891,0.9768415093421936,0.9885498285293579
bbj,0.9680947661399841,0.9423040151596069,0.9868984818458557,0.9883012175559998
ewe,0.9659668207168579,0.9708320498466492,0.9903303980827332,0.9885665774345398
fon,0.9663309454917908,0.940658688545227,0.9867497086524963,0.9882242679595947
hau,0.9622170925140381,0.9461675882339478,0.9780961871147156,0.9862138032913208
ibo,0.9891806840896606,0.9549019932746887,0.9875579476356506,0.9885522723197937
kin,0.9858484864234924,0.9820619821548462,0.9923948645591736,0.9878284335136414
lug,0.9607523679733276,0.9786802530288696,0.9671450257301331,0.9953593611717224
luo,0.9822663068771362,0.9768759608268738,0.9857731461524963,0.9891530871391296
mos,0.9468754529953003,0.957061767578125,0.9876003265380859,0.989366352558136
nya,0.9746202826499939,0.9689813852310181,0.9912195801734924,0.9911912083625793
pcm,0.9372848272323608,0.9746273159980774,0.9747830629348755,0.9903980493545532
sna,0.9865612983703613,0.9624522924423218,0.9863337874412537,0.9887410402297974
swa,0.9380271434783936,0.9840660095214844,0.9770941138267517,0.9891617298126221
tsn,0.9838440418243408,0.9646645784378052,0.9835151433944702,0.9890829920768738
twi,0.979186475276947,0.9779476523399353,0.9919328093528748,0.9904187321662903
wol,0.9844997525215149,0.953065812587738,0.988182008266449,0.9891379475593567
xho,0.9874945282936096,0.9486486315727234,0.986401379108429,0.9848940968513489
yor,0.9771574139595032,0.9391146302223206,0.9868903756141663,0.9816265106201172
zul,0.9847291707992554,0.9617365598678589,0.9915390610694885,0.9853803515434265
