,PER,LOC,ORG,DATE,SWD_mean
bam,0.006790822243601724,0.010979624654282816,0.008622182144790713,0.006615675555622147,0.00825207614957435
bbj,0.00509981847835661,0.011281464971943933,0.005915286205436132,0.007915943016996607,0.007553128168183321
ewe,0.005725109063860145,0.009464593687880551,0.005466217270168272,0.008652379257455323,0.007327074819841073
fon,0.006307203500909964,0.011210031304472068,0.005565591356571531,0.009804966811543636,0.0082219482433743
hau,0.0062828779573465,0.01330031713223434,0.007749409767257021,0.008407689836531063,0.008935073673342231
ibo,0.005678278556842997,0.009919442879436247,0.005288479368573462,0.005057741933342186,0.006485985684548723
kin,0.0062964966919025755,0.008047550113587931,0.00540162431252611,0.005678179560163699,0.006355962669545079
lug,0.0038675369332850096,0.0077409129198713345,0.01077112600523833,0.007957177708703966,0.00758418839177466
luo,0.005768304844423255,0.008872503133716236,0.006132203760898847,0.006408694495348755,0.006795426558596773
mos,0.006124333175193897,0.009898795627123036,0.006109406504947401,0.009828851729253074,0.007990346759129352
nya,0.006180637058150751,0.009972162401027163,0.005413895100446098,0.007423990944971592,0.007247671376148901
pcm,0.0050403144869051175,0.008740400905480783,0.007254791149534867,0.010773780366889696,0.007952321727202616
sna,0.006249708889754402,0.009015513259328145,0.006615113234602177,0.0058084014276573726,0.006922184202835524
swa,0.006822451679454389,0.006616242177187814,0.007834797543182503,0.01079625921238403,0.008017437653052184
tsn,0.0068697389051521895,0.0101411334999284,0.006563220182670193,0.005947731436208414,0.0073804560059897995
twi,0.005738500896768528,0.007733896160061704,0.004888717874564463,0.006324781063085538,0.006171473998620058
wol,0.006167606373310264,0.010999615099535731,0.0053863456682847755,0.006021996122854034,0.007143890815996201
xho,0.006176887898163841,0.009777130017027957,0.006804472042404086,0.005598188519343239,0.007089169619234781
yor,0.007709202299338358,0.011191529618372442,0.0063020285251695896,0.00808798839989322,0.008322687210693402
zul,0.006031593258285284,0.009712818472507934,0.0059197660211793846,0.006080818543523492,0.0069362490738740235
