,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9999916553497314,0.004096564836800098,0.9999916553497314,0.9999807476997375,0.006216946989297867,0.999980628490448,0.9999820590019226,0.0059966123662889,0.9999819993972778,0.9999843835830688,0.005593213252723217,0.9999843835830688,0.750472903251648
bbj,0.9999935030937195,0.0036341140512377024,0.9999935030937195,0.9999861717224121,0.005264572333544493,0.9999861121177673,0.9999942183494568,0.003447191324084997,0.999994158744812,0.9999883770942688,0.004856728482991457,0.9999881982803345,0.9289165735244751
ewe,0.9999912977218628,0.004196169786155224,0.999991238117218,0.9999938607215881,0.0035070201847702265,0.9999938011169434,0.9999964237213135,0.0027109687216579914,0.9999963641166687,0.9999873638153076,0.0050362697802484035,0.9999873042106628,0.8683149814605713
fon,0.9999890923500061,0.0046892547979950905,0.9999890923500061,0.9999794960021973,0.006416501943022013,0.9999794363975525,0.999990701675415,0.004359986167401075,0.9999905228614807,0.9999707341194153,0.007677115965634584,0.9999704957008362,0.8257502913475037
hau,0.9999932050704956,0.0036706351675093174,0.9999933242797852,0.9999897480010986,0.004539473447948694,0.9999897480010986,0.9999876022338867,0.004983336199074984,0.9999877214431763,0.9999753832817078,0.007024881895631552,0.999975323677063,0.8058087229728699
ibo,0.9999932646751404,0.003692618338391185,0.9999933242797852,0.9999872446060181,0.005071142688393593,0.9999873042106628,0.9999926686286926,0.0038689826615154743,0.9999925494194031,0.9999805688858032,0.006244279909878969,0.9999805092811584,0.7865332365036011
kin,0.9999966621398926,0.002609332324936986,0.9999966621398926,0.9999973177909851,0.002319787163287401,0.9999972581863403,0.9999961256980896,0.002814266597852111,0.9999961256980896,0.9999966621398926,0.0025916232261806726,0.9999967217445374,0.842767596244812
lug,0.9999988675117493,0.0015776512445881963,0.9999988079071045,0.9999954104423523,0.0030534174293279648,0.9999953508377075,0.9999880790710449,0.004892329219728708,0.9999880790710449,0.9999914169311523,0.004153131041675806,0.9999913573265076,0.7847718596458435
luo,0.9999964237213135,0.002693538088351488,0.9999964833259583,0.9999955892562866,0.0029964239802211523,0.9999955892562866,0.999994158744812,0.0034486199729144573,0.9999939799308777,0.9999954700469971,0.003051664447411895,0.9999953508377075,0.8476725816726685
mos,0.9999949932098389,0.003163660643622279,0.9999950528144836,0.999985933303833,0.005315514747053385,0.999985933303833,0.9999950528144836,0.0031916240695863962,0.9999948740005493,0.999977171421051,0.006772617809474468,0.9999769926071167,0.8235594630241394
nya,0.9999971985816956,0.0024114451371133327,0.9999971389770508,0.9999949932098389,0.0031685074791312218,0.9999949932098389,0.9999958276748657,0.002895588055253029,0.9999958276748657,0.9999956488609314,0.002968663116917014,0.9999955296516418,0.7903736233711243
pcm,0.9999963641166687,0.0027061481960117817,0.9999963641166687,0.9999894499778748,0.004604542627930641,0.99998939037323,0.9999840259552002,0.005662720650434494,0.9999839663505554,0.9999819993972778,0.006026022601872683,0.9999818205833435,0.8575371503829956
sna,0.9999966621398926,0.0025703576393425465,0.9999967217445374,0.9999956488609314,0.0029763660859316587,0.9999956488609314,0.9999975562095642,0.002274191938340664,0.9999974370002747,0.999994158744812,0.0034294696524739265,0.9999940991401672,0.7145175933837891
swa,0.9999921917915344,0.003935927990823984,0.9999922513961792,0.9999927282333374,0.003799041034653783,0.9999927282333374,0.9999884366989136,0.004805425181984901,0.9999884963035583,0.999968409538269,0.007943170145154,0.999968409538269,0.8398056626319885
tsn,0.9999954700469971,0.003047594567760825,0.9999954700469971,0.999989926815033,0.004497005604207516,0.9999898672103882,0.9999902248382568,0.004448134917765856,0.9999901652336121,0.9999969005584717,0.0024975119158625603,0.9999969601631165,0.6042589545249939
twi,0.9999961853027344,0.002766211284324527,0.9999961853027344,0.9999901652336121,0.004430542234331369,0.9999901652336121,0.9999937415122986,0.0035722232423722744,0.9999935626983643,0.9999874234199524,0.005034916568547487,0.9999873042106628,0.795366644859314
wol,0.9999940991401672,0.00341528607532382,0.9999942183494568,0.9999901652336121,0.004452959168702364,0.9999901652336121,0.9999951124191284,0.0031682683620601892,0.9999950528144836,0.9999932646751404,0.003701271489262581,0.9999931454658508,0.9074665307998657
xho,0.9999915957450867,0.004096049349755049,0.9999916553497314,0.9999929666519165,0.003764277556911111,0.9999929666519165,0.9999948740005493,0.003216635435819626,0.9999948143959045,0.9999963641166687,0.002716346876695752,0.9999963045120239,0.8369005918502808
yor,0.9999921321868896,0.004000762477517128,0.9999920725822449,0.9999855756759644,0.005369608290493488,0.9999856352806091,0.9999935030937195,0.003618813119828701,0.9999934434890747,0.9999836087226868,0.0057486011646687984,0.9999834299087524,0.8956847190856934
zul,0.9999951720237732,0.0031268042512238026,0.9999951720237732,0.9999927282333374,0.0038523157127201557,0.9999926090240479,0.999997079372406,0.002444222802296281,0.999997079372406,0.999991774559021,0.004071515519171953,0.9999916553497314,0.7210931777954102
