,ORG,LOC,PER,DATE,Mean
twi,0.9225590863418723,0.8879000954807788,0.9379652947116675,,0.9161414921781063
lug,0.9021919507216177,0.9259840188608085,0.9183121802179206,,0.9154960499334489
sna,0.9183921366139064,0.8738861007517927,0.9230104832085098,,0.905096240191403
nya,0.8804438634587742,0.866006399101456,0.9479072950911399,,0.89811918588379
kin,0.8756371187488612,0.8843058837606447,0.9322118850934992,,0.897384962534335
wol,0.8963654832387435,0.8520157879880533,0.9229700439588286,,0.8904504383952085
hau,,0.8289070126310981,0.9393031960437009,,0.8841051043373995
zul,0.9018054140371121,0.8830576109298541,0.8561491152534211,,0.8803373800734624
fon,0.8819892760615378,0.8537293871090474,0.895833162547056,,0.8771839419058804
xho,0.9027838365166836,0.8549237855959312,0.8546280448887366,,0.8707785556671171
ibo,0.8550834508646956,0.8822123961453298,,,0.8686479235050126
tsn,0.8719857198032306,0.8539393942600662,,,0.8629625570316484
ewe,0.8476889571509164,0.8415632608904473,0.8929501883877176,,0.8607341354763604
mos,0.8129949526473144,0.8474071987965246,0.9139343502535698,,0.8581121672324695
luo,0.7558164180517071,0.8886907891706374,0.9192885990985759,,0.8545986021069735
swa,0.8025021862079914,0.8489999303199774,0.8813438950119764,,0.8442820038466484
pcm,0.7906372697241163,0.7891056541963227,0.9264368268841265,,0.8353932502681886
bbj,0.8801625999338224,0.7369662190963543,0.877797997928066,,0.8316422723194142
yor,0.8805862501813542,0.7632499302990349,,,0.8219180902401946
bam,0.8292877118183032,0.8063184131973786,,,0.817803062507841
