,LOC,ORG,PER,DATE,Mean
kin,,0.9854138765669788,0.9878659017394961,,0.9866398891532374
ewe,,0.9665128356926717,0.9930132852435661,,0.9797630604681189
fon,0.9593876114996432,0.9883509969995934,0.9913146143003959,,0.9796844075998775
wol,0.9687378165131506,0.98432757851446,,,0.9765326975138053
nya,0.9566792197204347,0.9776608915808218,0.9932550061323704,,0.9758650391445421
hau,0.953089758856875,,0.9946824709816475,,0.9738861149192612
mos,0.9578216718221727,0.9711241695594509,0.9921472070034554,,0.9736976827950263
sna,0.9511247453572541,0.9697129168385346,0.9891361517108211,,0.9699912713022032
swa,0.9405373577106781,0.9781010037680623,0.9899761907434363,,0.9695381840740588
pcm,0.9427582970348577,,0.9961518415262005,,0.969455069280529
twi,0.9308460546942127,0.9807106446527641,0.990043405731322,,0.9672000350260995
tsn,0.9383554654451379,0.9905396117476785,,,0.9644475385964082
bbj,0.9248719330923957,0.9846581009914979,0.9831674374593963,,0.9642324905144299
zul,0.9410196511776687,0.9868503993311633,,,0.963935025254416
ibo,0.9569319361657268,0.9680706709392906,,,0.9625013035525087
luo,0.9651792193118596,0.9397317343873538,0.9817498103744369,,0.9622202546912169
lug,0.929958997897047,0.9857584245206894,0.9693172429128891,,0.9616782217768751
yor,0.9343579285595826,0.9876997795768652,,,0.9610288540682239
xho,0.9456846647358937,0.9643089269781749,0.9724477892912988,,0.9608137936684559
bam,0.9558274501106969,0.9655975656784628,,,0.9607125078945798
