layer,model,rank_type,language,cosine,config
1,mbert,top5,lug,0.9997674778726535,use1_use1_con4_max500_bat32
1,mbert,top5,hau,0.9997254484939866,use1_use1_con4_max500_bat32
1,mbert,top5,nya,0.9997189790333016,use1_use1_con4_max500_bat32
1,mbert,top5,kin,0.9996005846649053,use1_use1_con4_max500_bat32
1,mbert,top5,sna,0.9995539416189708,use1_use1_con4_max500_bat32
1,mbert,worst5,pcm,0.998705926454381,use1_use1_con4_max500_bat32
1,mbert,worst5,yor,0.9987166432142538,use1_use1_con4_max500_bat32
1,mbert,worst5,fon,0.9989175746575115,use1_use1_con4_max500_bat32
1,mbert,worst5,bbj,0.9990075219483743,use1_use1_con4_max500_bat32
1,mbert,worst5,ewe,0.9991411721357246,use1_use1_con4_max500_bat32
2,mbert,top5,lug,0.9999565077816135,use1_use1_con4_max500_bat32
2,mbert,top5,hau,0.9999551019390971,use1_use1_con4_max500_bat32
2,mbert,top5,nya,0.9999513173630359,use1_use1_con4_max500_bat32
2,mbert,top5,kin,0.9999349413685332,use1_use1_con4_max500_bat32
2,mbert,top5,sna,0.9999233335151584,use1_use1_con4_max500_bat32
2,mbert,worst5,yor,0.9997715750874967,use1_use1_con4_max500_bat32
2,mbert,worst5,pcm,0.9998026925782804,use1_use1_con4_max500_bat32
2,mbert,worst5,fon,0.9998097083029329,use1_use1_con4_max500_bat32
2,mbert,worst5,bbj,0.9998394298534139,use1_use1_con4_max500_bat32
2,mbert,worst5,ewe,0.9998589140935645,use1_use1_con4_max500_bat32
3,mbert,top5,lug,0.9999803076786407,use1_use1_con4_max500_bat32
3,mbert,top5,nya,0.9999787241217579,use1_use1_con4_max500_bat32
3,mbert,top5,hau,0.9999750183057992,use1_use1_con4_max500_bat32
3,mbert,top5,kin,0.9999738872994688,use1_use1_con4_max500_bat32
3,mbert,top5,sna,0.9999669846814327,use1_use1_con4_max500_bat32
3,mbert,worst5,yor,0.9999063735904896,use1_use1_con4_max500_bat32
3,mbert,worst5,pcm,0.9999108259012273,use1_use1_con4_max500_bat32
3,mbert,worst5,bbj,0.9999153879565621,use1_use1_con4_max500_bat32
3,mbert,worst5,fon,0.9999214931174789,use1_use1_con4_max500_bat32
3,mbert,worst5,swa,0.9999366298193737,use1_use1_con4_max500_bat32
4,mbert,top5,lug,0.9999363376718166,use1_use1_con4_max500_bat32
4,mbert,top5,kin,0.9999302560151399,use1_use1_con4_max500_bat32
4,mbert,top5,nya,0.9999273769743635,use1_use1_con4_max500_bat32
4,mbert,top5,sna,0.9999073994290426,use1_use1_con4_max500_bat32
4,mbert,top5,hau,0.9998882793798858,use1_use1_con4_max500_bat32
4,mbert,worst5,pcm,0.9996116966840602,use1_use1_con4_max500_bat32
4,mbert,worst5,yor,0.9996469624936329,use1_use1_con4_max500_bat32
