,LOC,ORG,PER,DATE,Mean
kin,,0.9985660615220441,0.9984386217551432,,0.9985023416385936
ewe,,0.9976239754770766,0.9991727570297049,,0.9983983662533907
bbj,0.9964877756108406,0.9991857063600799,0.9989393723072129,,0.9982042847593778
mos,0.9967242301432692,0.9990065430178823,0.9985358710235874,,0.998088881394913
nya,0.9971766284338254,0.9989474573527218,,,0.9980620428932736
wol,0.9968073478758688,0.999314213263979,,,0.9980607805699239
swa,,0.9973217046549584,0.9987111762695983,,0.9980164404622783
sna,0.9969586794811615,,0.9988786321836068,,0.9979186558323841
fon,0.9957303649164527,0.9985786110164058,0.9989494907375331,,0.9977528222234638
xho,0.9966224276740174,,0.9988477611077485,,0.9977350943908829
luo,,0.9973006866198652,0.997506757670184,,0.9974037221450246
zul,0.9959146157961586,0.9987458432121288,,,0.9973302295041437
yor,0.9962673790031911,0.998154730491921,,,0.9972110547475561
pcm,0.9958328117782064,,0.9983004261522647,,0.9970666189652355
ibo,0.9967384794261255,0.9973219707729923,,,0.9970302250995589
tsn,0.9946384041092491,0.9992597411577772,,,0.9969490726335131
lug,0.995141272498786,0.9981618716220106,0.9970330866952974,,0.9967787436053648
hau,0.9941825058381449,,0.9991669876220975,,0.9966747467301212
twi,0.993872795201773,,0.9991339543695017,,0.9965033747856373
bam,0.9913860094819134,0.9987126664536792,,,0.9950493379677963
