,ORG,LOC,PER,DATE,Mean
sna,0.9999993082050245,0.9999992347182617,0.9999973212937211,0.9999976432446528,0.9999983768654149
bam,0.9999977188647681,0.9999982222793654,0.9999992680068996,0.9999970777673578,0.9999980717295978
nya,0.9999982537714552,0.9999983011702602,0.9999987814520384,0.9999964346998562,0.9999979427734025
lug,0.9999985873392045,0.9999966954211317,0.999998217475428,0.9999977326684499,0.9999978082260536
xho,0.9999972703291825,0.9999984561303805,0.9999956123918241,0.9999982961062525,0.9999974087394099
pcm,0.9999967788399414,0.9999980433846155,0.9999984508957706,0.9999950623287946,0.9999970838622806
twi,0.9999978343295151,0.9999984880365621,0.9999984025258684,0.9999928089064248,0.9999968834495926
bbj,0.9999975885526082,0.9999981202246494,0.9999971921036325,0.9999945753719854,0.9999968690632188
ewe,0.9999965420432899,0.999996448181341,0.999999031074825,0.9999952700945669,0.9999968228485058
mos,0.9999969206387478,0.9999991336575217,0.9999993609042864,0.9999911177710081,0.999996633242891
swa,0.9999949125915836,0.9999978976520745,0.9999977476977026,0.9999955395235403,0.9999965243662252
luo,0.9999909173570555,0.9999989433443651,0.9999984813287914,0.9999971030381999,0.999996361267103
wol,0.9999961532899291,0.9999954330964563,0.999996361273805,0.9999971799900401,0.9999962819125576
ibo,0.9999903086495462,0.9999969844003022,0.999999229499747,0.9999984105349647,0.9999962332711401
fon,0.9999974825149207,0.9999982357371906,0.9999957644699885,0.9999931336219177,0.9999961540860043
tsn,0.9999957040263979,0.9999936686830712,0.9999981843077527,0.9999964252670809,0.9999959955710757
hau,0.9999989983963768,0.9999982742811122,0.9999980659385077,0.9999878921920757,0.9999958077020181
zul,0.9999916432775163,0.9999948411026489,0.9999983121899753,0.9999984204130146,0.9999958042457888
kin,0.9999897901836885,0.9999970658193469,0.9999986064219952,0.9999977365443848,0.9999957997423539
yor,0.9999940133348546,0.9999907986950173,0.9999971575708138,0.9999980897943088,0.9999950148487486
