,LOC,DATE,PER,ORG,Mean
ibo,0.9999978280317382,0.999998374693327,0.9999990594313855,0.9999989211439315,0.9999985458250955
ewe,0.9999984788565374,0.9999969958331486,0.9999994299642272,0.9999984019681724,0.9999983266555214
mos,0.9999986565048278,0.9999973751329704,0.9999975845037183,0.9999988386022775,0.9999981136859485
zul,0.9999955109163214,0.9999988654771133,0.9999990208691603,0.9999981466144925,0.999997885969272
twi,0.9999972717420238,0.9999955854784004,0.9999994506744307,0.9999991822333152,0.9999978725320426
xho,0.9999948892581586,0.999999332818979,0.9999984489808171,0.9999975298257081,0.9999975502209157
hau,0.9999980560789036,0.9999945291408776,0.999999379088485,0.999998027395112,0.9999974979258446
sna,0.9999965728646344,0.9999961735362405,0.9999983655834399,0.9999988787678873,0.9999974976880506
nya,0.9999943346106784,0.999998110973511,0.9999992808038431,0.9999974784087001,0.9999973011991832
fon,0.9999973244171413,0.9999948126995875,0.9999985714577385,0.9999965992309963,0.9999968269513659
luo,0.9999951122148301,0.9999983112872927,0.9999968812419413,0.9999958524302887,0.9999965392935882
bbj,0.999991706967504,0.9999970986745851,0.9999985156666944,0.9999985592362719,0.9999964701362638
yor,0.9999949752364727,0.9999984050748965,0.9999934257716879,0.9999986323004451,0.9999963595958755
lug,0.9999941690308501,0.9999987195397582,0.999999725056994,0.99999213347456,0.9999961867755406
wol,0.9999951779084376,0.9999972199003716,0.9999984981036816,0.9999920553090408,0.9999957378053829
swa,0.9999922397533224,0.9999941326790567,0.9999979251390221,0.9999986138065688,0.9999957278444924
tsn,0.9999879109887261,0.9999985971300477,0.9999992782015834,0.9999961322534072,0.999995479643441
kin,0.9999855543764031,0.999998159939421,0.9999994891917218,0.9999984224722247,0.9999954064949426
pcm,0.9999949026883309,0.9999880492360239,0.9999995309761285,0.9999962025733989,0.9999946713684705
bam,0.9999955380908492,0.999997667508708,0.9999983252248631,0.9999649732863766,0.9999891260276993
