,LOC,DATE,PER,ORG,Mean
lug,0.9874034192485515,0.9874682848458222,0.9926087852045221,0.9759362562610119,0.9858541863899769
kin,0.9831455004260916,0.9861623987136153,0.9812724667617202,0.9876612466383591,0.9845604031349465
twi,0.9811010502567585,0.9789545203248803,0.987196279652354,0.9904660061235193,0.984429464089378
sna,0.9741362172539884,0.9852690643525995,0.9867794505412508,0.9887173614511591,0.9837255233997495
nya,0.9805751353148987,0.9737332349466923,0.9908353316469986,0.9888486719465925,0.9834980934637955
luo,0.9856978718409487,0.9763666260769492,0.9797867746906659,0.9846984958439174,0.9816374421131203
zul,0.9754441700676466,0.9780277042044684,0.982514764059078,0.9868682065068594,0.9807137112095131
mos,0.967506879775468,0.9770817833934763,0.9870430659876093,0.983221860422549,0.9787133973947756
tsn,0.9653444907002725,0.9778220989496696,0.9840920334394018,0.983351701479997,0.9776525811423352
ibo,0.9632240726629779,0.9802715805266747,0.9845248479924186,0.9811955828263329,0.977304021002101
wol,0.9628515152549445,0.9748101134464199,0.9867898616673367,0.9797714483903796,0.9760557346897701
xho,0.9671712137474454,0.9754665199443349,0.974351037747002,0.9816641266456985,0.9746632245211202
ewe,0.9600895743474416,0.9676342351957385,0.985305096060081,0.9806288265124835,0.9734144330289362
bam,0.9678407332490102,0.9678270608800872,0.9855381595284288,0.9683938791523098,0.9723999582024591
swa,0.9717720121889976,0.9495118181264338,0.9831344697680262,0.9783631506606693,0.9706953626860316
yor,0.9549665650509152,0.9618580304468451,0.9784814098407795,0.9826707955455699,0.9694942002210275
fon,0.9577556176359633,0.9408798756160384,0.9851628654127748,0.9819057600052927,0.9664260296675172
hau,0.9677245889897251,0.925628198191862,0.9873130848520193,0.9834437810323792,0.9660274132664964
pcm,0.9726766692099581,0.9232163041720702,0.9894075024775053,0.964748692440006,0.9625122920748849
bbj,0.9425300307149566,0.9516006515884808,0.9802980614544352,0.9733533305683306,0.9619455185815509
