,ORG,DATE,PER,LOC,Mean
kin,0.9868002905016409,0.9700078653071762,0.9813172652304123,0.9607175793212192,0.9747107500901122
twi,0.9874597991604908,0.9699490666581541,0.9833140707038504,0.955870510718464,0.9741483618102398
sna,0.9838470434328004,0.9809484177587681,0.9828592673366608,0.9398239070820898,0.9718696589025798
ibo,0.9788833261652543,0.9808949254470113,0.9810217229139966,0.9426406844328652,0.9708601647397819
lug,0.9519306346827364,0.9659455224417802,0.9951611812521531,0.9645868794309322,0.9694060544519005
luo,0.9826135392092381,0.9566602677865911,0.9841532316293873,0.9480602490968728,0.9678718219305223
nya,0.9876808111291635,0.9629402234946578,0.9778724368155524,0.935254513356633,0.9659369961990016
ewe,0.9829887366915738,0.9601927281995262,0.9815894422276779,0.9371698386236862,0.965485186435616
tsn,0.9814874157523403,0.9714768609731635,0.9822162811690552,0.9259129912655152,0.9652733872900187
zul,0.9841275276442162,0.9626437040089455,0.9765334511822792,0.9358632722161734,0.9647919887629035
xho,0.979640707061113,0.9719384442049483,0.9809076179610561,0.9215554313462293,0.9635105501433368
wol,0.9806452021349541,0.961847417963884,0.9778555251385921,0.9145959005513951,0.9587360114472063
mos,0.9793620134367329,0.9505129951829969,0.9852776226147189,0.9072484698834531,0.9556002752794754
swa,0.9680369484043015,0.9253198641242362,0.9815643853125723,0.9472159172424375,0.9555342787708868
bam,0.9622550462987389,0.9540059286451807,0.9784198167529998,0.9222011928136274,0.9542204961276368
bbj,0.9719382392986333,0.9396170759587748,0.9826835424667363,0.9008303000118314,0.9487672894339939
fon,0.9781026717367035,0.928511044082514,0.9820452954562823,0.9055462201702632,0.9485513078614407
yor,0.9777997578604195,0.9556973517741915,0.9661333105126706,0.8919546529138127,0.9478962682652736
pcm,0.9619871584449355,0.8916023231993859,0.9861424420883053,0.9349449628250731,0.943669221639425
hau,0.9658023325461469,0.91959224640259,0.9750137771530167,0.9051708569351352,0.9413948032592222
