model,config_id,use_cls,use_context,use_hybrid,max_tokens_per_type,context_window,layer,score,run_dir,csv_path,scope
xlmr,4,True,True,False,500,0,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,2,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,7,True,True,True,500,0,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,3,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,0,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,1,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,0,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,2,12,0.999647538757449,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,1,True,False,False,500,1,12,0.999647538757449,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,5,True,False,True,500,3,12,0.999647538757449,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_5_clstrue_ctxfalse_hybtrue/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,400,0,12,0.9996310051847577,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
