,PER,ORG,DATE,LOC,Mean
nya,0.9999813670842694,0.9999906738976091,0.9999641284677593,0.9999923399476719,0.9999821273493275
ibo,0.9999837278435062,0.9999903903110475,0.9999785193762177,0.9999698707520395,0.9999806270707027
kin,0.9999767571399544,0.9999940224816697,0.9999639911460586,0.9999804706656866,0.9999788103583424
zul,0.9999735263524258,0.99998525624243,0.9999817139836867,0.9999714039297801,0.9999779751270806
wol,0.9999822834291533,0.9999923660570995,0.9999586888888368,0.9999701264168456,0.9999758661979837
bam,0.9999792297162241,0.999957878751757,0.9999601639438671,0.9999755686784748,0.9999682102725809
fon,0.9999487603832129,0.9999825523886267,0.9999611560276386,0.999979593074404,0.9999680154684706
hau,0.9999780388267054,0.9999682091004327,0.9999755623167508,0.9999427693085071,0.999966144888099
mos,0.9999745847130294,0.9999904665895037,0.9999177715813258,0.9999790594123763,0.9999654705740588
luo,0.9998998508927331,0.9999911628121209,0.99997718024973,0.9999917159721223,0.9999649774816766
xho,0.9999822746898555,0.9999849699899773,0.999990822004374,0.9998967164953579,0.9999636957948911
sna,0.9999688445756268,0.9999796551576967,0.99997931760601,0.9999254938121789,0.9999633277878781
swa,0.9999514503357191,0.9999862563944002,0.999937082793912,0.9999737636047439,0.9999621382821937
lug,0.9999472349708194,0.9999740794437009,0.9999767513296351,0.9999504557082838,0.9999621303631098
yor,0.9999308234325918,0.9999912854833567,0.9999619585555668,0.9999523037058932,0.9999590927943521
tsn,0.9998999161965176,0.9999729870990194,0.9999652637561737,0.9999774850209653,0.9999539130181689
twi,0.9999537654414711,0.9999764525972751,0.9999285807475154,0.9999307309241857,0.9999473824276118
pcm,0.9999801453642143,0.9999787427844294,0.9998204845554632,0.9999805651573637,0.9999399844653676
bbj,0.999941289364563,0.9999343402817638,0.9996644009323008,0.9997638797417313,0.9998259775800896
ewe,0.9999634360358749,0.9999396840687206,0.999392831529626,0.9999456520396933,0.9998104009184786
