,LOC,PER,ORG,DATE,Mean
nya,0.9897317847919039,0.9619198297095769,0.9873295904556254,0.9787988329263472,0.9794450094708634
kin,0.9877955449269826,0.952572192340159,0.9793714212194781,0.9861076741126442,0.9764617081498159
lug,0.9814345678325787,0.9568628221181918,0.9882948771217216,0.9791198004138504,0.9764280168715855
sna,0.9898367471436635,0.9462947992550044,0.9858363411308976,0.9833843342752228,0.976338055451197
hau,0.9848079583733261,0.9545867774811123,0.9797725002440093,0.9809695921763917,0.9750342070687099
ibo,0.9863670874122958,0.9565827571771574,0.9674089287213271,0.987294126267692,0.974413224894618
twi,0.9821992341429278,0.9530942546589465,0.9852768433392545,0.9741972656663055,0.9736918994518585
zul,0.9841500123935529,0.9500545960903987,0.9807917803266578,0.9792637967843995,0.9735650463987522
luo,0.9853697153402184,0.9485567367707215,0.9767511181931462,0.9792183533158512,0.9724739809049843
xho,0.9861392058703203,0.9365042810192593,0.979793481048714,0.9828114497279351,0.9713121044165572
wol,0.9796504785636004,0.9501664198573871,0.9760828993838757,0.9743393214454449,0.9700597798125771
tsn,0.9766940262033498,0.9432756500754159,0.9805382793840625,0.9769853634946171,0.9693733297893613
bam,0.9811325120303132,0.955151833921881,0.9590364738316504,0.9799171971131293,0.9688095042242434
mos,0.9814942471097621,0.9481338105228838,0.9746972544350272,0.9650434208858101,0.9673421832383708
ewe,0.9615252378798187,0.9499482857306992,0.9655667631240119,0.9716237239798746,0.9621660026786012
swa,0.9687754051364785,0.9441385563470767,0.9631828013908917,0.9689308638150969,0.961256906672386
yor,0.9666642607806869,0.943437046827989,0.9635352960349004,0.9618570599435116,0.958873415896772
bbj,0.9575490999433593,0.9495561068594217,0.9603579662146807,0.9612250604982341,0.957172058378924
fon,0.9750566779093484,0.9390891677452453,0.9631690283075703,0.9383204069402948,0.9539088202256147
pcm,0.9573839521090606,0.9408439110132711,0.9520371675873608,0.9358168166410789,0.9465204618376928
