layer,model,rank_type,language,cosine,config
1,mbert,top5,nya,0.9995002520626426,use1_use1_con4_max250_bat32
1,mbert,top5,luo,0.999371473185228,use1_use1_con4_max250_bat32
1,mbert,top5,lug,0.9993566501451691,use1_use1_con4_max250_bat32
1,mbert,top5,swa,0.9993357906036857,use1_use1_con4_max250_bat32
1,mbert,top5,xho,0.9992410978845403,use1_use1_con4_max250_bat32
1,mbert,worst5,yor,0.9983347977922272,use1_use1_con4_max250_bat32
1,mbert,worst5,pcm,0.998537767453176,use1_use1_con4_max250_bat32
1,mbert,worst5,bbj,0.9986542106640958,use1_use1_con4_max250_bat32
1,mbert,worst5,fon,0.9987771215096163,use1_use1_con4_max250_bat32
1,mbert,worst5,ewe,0.9988629837857155,use1_use1_con4_max250_bat32
2,mbert,top5,nya,0.9999054870484276,use1_use1_con4_max250_bat32
2,mbert,top5,luo,0.9998842179200288,use1_use1_con4_max250_bat32
2,mbert,top5,lug,0.9998749076264455,use1_use1_con4_max250_bat32
2,mbert,top5,swa,0.9998687524401868,use1_use1_con4_max250_bat32
2,mbert,top5,ibo,0.9998670564979446,use1_use1_con4_max250_bat32
2,mbert,worst5,yor,0.999675541608458,use1_use1_con4_max250_bat32
2,mbert,worst5,bbj,0.9997345487594252,use1_use1_con4_max250_bat32
2,mbert,worst5,pcm,0.9997590219817816,use1_use1_con4_max250_bat32
2,mbert,worst5,fon,0.9997641725901989,use1_use1_con4_max250_bat32
2,mbert,worst5,ewe,0.9997984161033968,use1_use1_con4_max250_bat32
3,mbert,top5,nya,0.9999548638375805,use1_use1_con4_max250_bat32
3,mbert,top5,lug,0.9999457421030009,use1_use1_con4_max250_bat32
3,mbert,top5,zul,0.9999436468070111,use1_use1_con4_max250_bat32
3,mbert,top5,luo,0.9999432440113322,use1_use1_con4_max250_bat32
3,mbert,top5,xho,0.9999374090143931,use1_use1_con4_max250_bat32
3,mbert,worst5,yor,0.9998750639983557,use1_use1_con4_max250_bat32
3,mbert,worst5,bbj,0.9998752987951003,use1_use1_con4_max250_bat32
3,mbert,worst5,pcm,0.9998821140724947,use1_use1_con4_max250_bat32
3,mbert,worst5,fon,0.9999010062978143,use1_use1_con4_max250_bat32
3,mbert,worst5,ewe,0.9999058613777062,use1_use1_con4_max250_bat32
4,mbert,top5,lug,0.9998555766121031,use1_use1_con4_max250_bat32
4,mbert,top5,kin,0.9998517724552356,use1_use1_con4_max250_bat32
4,mbert,top5,zul,0.9998394254516662,use1_use1_con4_max250_bat32
4,mbert,top5,nya,0.9998373459636893,use1_use1_con4_max250_bat32
4,mbert,top5,sna,0.9998330417899552,use1_use1_con4_max250_bat32
4,mbert,worst5,pcm,0.9995444753777241,use1_use1_con4_max250_bat32
4,mbert,worst5,bbj,0.9995881541100406,use1_use1_con4_max250_bat32
4,mbert,worst5,yor,0.9996026328672382,use1_use1_con4_max250_bat32
4,mbert,worst5,fon,0.999645642884421,use1_use1_con4_max250_bat32
4,mbert,worst5,ewe,0.9996517816310175,use1_use1_con4_max250_bat32
5,mbert,top5,luo,0.9829412493418415,use1_use1_con4_max250_bat32
5,mbert,top5,nya,0.9827255505910228,use1_use1_con4_max250_bat32
5,mbert,top5,tsn,0.9812605378888913,use1_use1_con4_max250_bat32
5,mbert,top5,lug,0.9808612789531835,use1_use1_con4_max250_bat32
5,mbert,top5,zul,0.9806909562551512,use1_use1_con4_max250_bat32
5,mbert,worst5,bbj,0.9599723552255921,use1_use1_con4_max250_bat32
5,mbert,worst5,fon,0.9638332509624454,use1_use1_con4_max250_bat32
5,mbert,worst5,swa,0.9656924191235778,use1_use1_con4_max250_bat32
5,mbert,worst5,pcm,0.9666166802917893,use1_use1_con4_max250_bat32
5,mbert,worst5,yor,0.9673270596036595,use1_use1_con4_max250_bat32
6,mbert,top5,luo,0.9744750168974607,use1_use1_con4_max250_bat32
6,mbert,top5,zul,0.9720460616894248,use1_use1_con4_max250_bat32
6,mbert,top5,ibo,0.971727487082843,use1_use1_con4_max250_bat32
6,mbert,top5,tsn,0.971531088123618,use1_use1_con4_max250_bat32
6,mbert,top5,nya,0.9709731636340575,use1_use1_con4_max250_bat32
6,mbert,worst5,swa,0.9475748031300351,use1_use1_con4_max250_bat32
6,mbert,worst5,pcm,0.9477880016458802,use1_use1_con4_max250_bat32
6,mbert,worst5,bbj,0.9491472185302824,use1_use1_con4_max250_bat32
6,mbert,worst5,fon,0.9521226735717305,use1_use1_con4_max250_bat32
6,mbert,worst5,mos,0.956814992657109,use1_use1_con4_max250_bat32
7,mbert,top5,luo,0.9667964217785279,use1_use1_con4_max250_bat32
7,mbert,top5,tsn,0.9656560389945508,use1_use1_con4_max250_bat32
7,mbert,top5,ibo,0.9645637509680428,use1_use1_con4_max250_bat32
7,mbert,top5,wol,0.9638206917213201,use1_use1_con4_max250_bat32
7,mbert,top5,lug,0.9632060897116181,use1_use1_con4_max250_bat32
7,mbert,worst5,swa,0.9289986430145489,use1_use1_con4_max250_bat32
7,mbert,worst5,pcm,0.9347894719406201,use1_use1_con4_max250_bat32
7,mbert,worst5,bbj,0.9448288415891701,use1_use1_con4_max250_bat32
7,mbert,worst5,fon,0.9482045362959923,use1_use1_con4_max250_bat32
7,mbert,worst5,ewe,0.9487794497247342,use1_use1_con4_max250_bat32
8,mbert,top5,ibo,0.962516021958516,use1_use1_con4_max250_bat32
8,mbert,top5,luo,0.9610765294522223,use1_use1_con4_max250_bat32
8,mbert,top5,wol,0.9608212538989391,use1_use1_con4_max250_bat32
8,mbert,top5,lug,0.9604584722595026,use1_use1_con4_max250_bat32
8,mbert,top5,tsn,0.9589415179066288,use1_use1_con4_max250_bat32
8,mbert,worst5,swa,0.9068568518512484,use1_use1_con4_max250_bat32
8,mbert,worst5,pcm,0.9075892604784206,use1_use1_con4_max250_bat32
8,mbert,worst5,ewe,0.934360018740283,use1_use1_con4_max250_bat32
8,mbert,worst5,bbj,0.9347531475448133,use1_use1_con4_max250_bat32
8,mbert,worst5,mos,0.9411600441424823,use1_use1_con4_max250_bat32
9,mbert,top5,wol,0.9690885788121583,use1_use1_con4_max250_bat32
9,mbert,top5,luo,0.9671678301690966,use1_use1_con4_max250_bat32
9,mbert,top5,ibo,0.9666865360321338,use1_use1_con4_max250_bat32
9,mbert,top5,lug,0.9666235757843658,use1_use1_con4_max250_bat32
9,mbert,top5,tsn,0.9634669947952198,use1_use1_con4_max250_bat32
9,mbert,worst5,pcm,0.9243996943850967,use1_use1_con4_max250_bat32
9,mbert,worst5,swa,0.9250056022361388,use1_use1_con4_max250_bat32
9,mbert,worst5,bbj,0.9406670339260881,use1_use1_con4_max250_bat32
9,mbert,worst5,ewe,0.9416130815146805,use1_use1_con4_max250_bat32
9,mbert,worst5,mos,0.9519684985318327,use1_use1_con4_max250_bat32
10,mbert,top5,ibo,0.9701515619613016,use1_use1_con4_max250_bat32
10,mbert,top5,wol,0.9694524777114593,use1_use1_con4_max250_bat32
10,mbert,top5,lug,0.9689589004448882,use1_use1_con4_max250_bat32
10,mbert,top5,tsn,0.9659196902143425,use1_use1_con4_max250_bat32
