,PER,ORG,DATE,LOC,Mean
sna,0.677887700759259,0.8966324855926382,0.9357292590035875,0.888898787192749,0.8497870581370585
ibo,0.6640608325883524,0.8859971926552793,0.9530130459309367,0.8833850133044449,0.8466140211197533
twi,0.6635120578319295,0.9055774960561084,0.91430978403049,0.8762922388329389,0.8399228941878667
nya,0.6598792496321554,0.9140073640525889,0.8786486165489975,0.9052663217488597,0.8394503879956503
luo,0.6941819990056135,0.8913197860714204,0.8747920269748083,0.8740826921482787,0.8335941260500302
xho,0.6671575832212698,0.8638889854566828,0.9084042675677716,0.8868459915580753,0.8315742069509499
tsn,0.6221864740655775,0.9082774570614458,0.9278903177193444,0.8517858261451995,0.8275350187478917
mos,0.6823340167004508,0.8748520685255956,0.8695971178175266,0.8733224478003364,0.8250264127109773
wol,0.6581844569708262,0.8898920943364608,0.8620224932173177,0.8629550137412856,0.8182635145664725
zul,0.6207763598482585,0.8944318770255832,0.8439274808857248,0.9082906336185886,0.8168565878445389
ewe,0.6539972680836406,0.9015591541714425,0.8475160784821358,0.8631305868712154,0.8165507719021086
lug,0.6800512267921667,0.8599046641575135,0.9247095320817215,0.8014947985711253,0.8165400554006317
bam,0.6217378972574429,0.8197422923480573,0.8900189978850161,0.8791092139119748,0.8026521003506228
bbj,0.670994266335341,0.8757228347170409,0.8043958641740575,0.8514336877323435,0.8006366632396957
yor,0.6354583315464138,0.8422870396672698,0.8643950801602671,0.8474034251415439,0.7973859691288736
kin,0.6233658907021328,0.8781646728995428,0.9146389110438352,0.7720718783926401,0.7970603382595378
fon,0.6487406479417543,0.8753686818652202,0.7938442523495568,0.8465860939878311,0.7911349190360906
hau,0.6444548935473878,0.8741027264227988,0.7296023548213902,0.7575825203838857,0.7514356237938657
pcm,0.6612675671128189,0.753855337705293,0.7204809554671369,0.8525780345061178,0.7470454736978416
swa,0.6509554161931744,0.7565477548199518,0.7611654950722755,0.7711817196667897,0.7349625964380478
