,LOC,PER,ORG,DATE,Mean
nya,0.9999952763879901,0.9999942181909045,0.9999938937905665,0.9999958411270458,0.9999948073741267
lug,0.9999966697576965,0.9999942575899727,0.9999917620969373,0.9999962383483683,0.9999947319482436
sna,0.9999969635091183,0.999990727004086,0.9999962759467984,0.9999926611425151,0.9999941569006295
kin,0.9999925109095773,0.9999922529469966,0.9999947487130009,0.9999966883755104,0.9999940502362713
zul,0.9999937342545255,0.9999908467303134,0.9999951346971713,0.9999953693363497,0.99999377125459
xho,0.9999961656309682,0.9999911495851015,0.9999925453321943,0.9999950874097538,0.9999937369895044
luo,0.9999946778974026,0.9999923150368278,0.9999894685755593,0.9999957124635253,0.9999930434933287
wol,0.9999917843541523,0.9999906832674669,0.9999928996364761,0.9999943765361051,0.99999243594855
tsn,0.9999923492706401,0.9999938133039092,0.9999888631272204,0.9999936911212155,0.9999921792057462
ibo,0.9999939267963502,0.9999892929548827,0.9999889154608479,0.9999940265574914,0.9999915404423931
hau,0.9999911905676321,0.9999920139813585,0.9999930911510204,0.9999882740854973,0.999991142446377
mos,0.9999929622105844,0.9999871026614026,0.9999927745373125,0.9999913792878787,0.9999910546742945
bbj,0.9999892923918164,0.9999883496162233,0.9999926972067467,0.999988317232318,0.999989664111776
twi,0.9999862590257235,0.9999891244946355,0.9999889331129678,0.9999899841167116,0.9999885751875096
bam,0.999985410807126,0.9999873065857655,0.9999903079624741,0.9999885039870235,0.9999878823355972
yor,0.9999874442051176,0.9999869701709599,0.9999846875686926,0.9999892575262572,0.999987089867757
fon,0.9999860635032074,0.9999840648024636,0.9999881807003229,0.999981206042468,0.9999848787621155
swa,0.9999837564564713,0.9999898961308923,0.9999797528657192,0.9999841115926383,0.9999843792614302
ewe,0.9999825619667344,0.9999799812192112,0.9999852170853508,0.9999890143923551,0.9999841936659128
pcm,0.9999816465743222,0.9999890474846544,0.9999768348575486,0.9999734103625912,0.9999802348197792
