,PER,DATE,LOC,ORG,Mean
lug,0.6286716130148903,0.824816910369388,0.8905791350247015,0.851351785769902,0.7988548610447204
luo,0.6120977285598119,0.8263953399218291,0.8714280919144496,0.8715398665037603,0.7953652567249627
nya,0.6522563135085,0.8257860409326148,0.8194898397064797,0.8815238599670177,0.794764013528653
twi,0.6276168228903423,0.8237891286674242,0.8187911085791709,0.8848033167229207,0.7887500942149644
sna,0.6606779964916863,0.914552914362383,0.7321932912613127,0.8412715296893317,0.7871739329511785
kin,0.586609139808439,0.8590938773544416,0.8487371437610063,0.8494066499078677,0.7859617027079386
zul,0.6779657540494941,0.8514052267195571,0.7631288732595572,0.8397378769587922,0.7830594327468502
ibo,0.6702241541490065,0.9077969010393202,0.7504533864714995,0.795645054093075,0.7810298739382252
xho,0.6383352147024013,0.8980416509297465,0.6994054314760965,0.819841317118626,0.7639059035567175
tsn,0.6110338765741876,0.8452698638583745,0.7144257283586397,0.81021566169355,0.745236282621188
swa,0.5869841024853262,0.7386380013557455,0.8373709394484392,0.8130278072952549,0.7440052126461915
hau,0.6589283591804839,0.8144813269766942,0.6787300502375045,0.793197162862969,0.7363342248144129
mos,0.628629388672826,0.7490142086020876,0.73898948825455,0.8093448400254785,0.7314944813887355
wol,0.6328663137499636,0.777003018290601,0.6868902876122128,0.82194892214641,0.7296771354497968
bam,0.6316812161641567,0.7716743131219557,0.7501243144530811,0.7400192106906766,0.7233747636074676
ewe,0.6167909907275396,0.6029017732995421,0.7304062018256656,0.8220447028905363,0.6930359171858209
fon,0.5881819553227706,0.7098530253202548,0.6379790515407922,0.784695303379246,0.6801773338907658
yor,0.5672164513057829,0.7114335891549802,0.5447148217600426,0.8137026369386632,0.6592668747898672
pcm,0.5966750285307251,0.5147338164073135,0.7479036624436893,0.7434488028686681,0.650690327562599
bbj,0.6316911349724462,0.6310264840678494,0.4754564909127452,0.6780590795302737,0.6040582973708286
