,ORG,PER,LOC,DATE,Mean
kin,0.9375138531026034,0.8093133636137828,0.9242892465732757,0.9344562281293869,0.9013931728547623
twi,0.948750111640907,0.8290283255246191,0.9021767749584158,0.9220437612656546,0.9004997433473991
luo,0.9339831046389478,0.8147060623536985,0.9189612439872991,0.9147045019845789,0.895588728241131
lug,0.9030794974265363,0.8230457609451858,0.9304354521811213,0.9235946325482045,0.8950388357752619
sna,0.938270044177256,0.8109772237479442,0.8597360478241752,0.9654559520047705,0.8936098169385365
ibo,0.908535346942869,0.8168094642978826,0.8881910175021936,0.9547374125247274,0.8920683103169181
nya,0.9428106749611989,0.8026262857251013,0.886641492625323,0.9201166929904556,0.8880487865755196
swa,0.9292721831610133,0.8057077881263305,0.9180777231087752,0.8948974626167696,0.8869887892532222
zul,0.9166446439380755,0.8062939223545722,0.8649157135263701,0.9216753342517017,0.8773824035176798
tsn,0.918257286147989,0.8033707593816398,0.8343504068603693,0.9356569306466638,0.8729088457591654
xho,0.9069742287486064,0.8084554776985021,0.8043152234974963,0.9671874421885026,0.871733093033277
hau,0.9187203090897368,0.8045402388786544,0.8170467368617643,0.9286349971448353,0.8672355704937478
wol,0.9177610714130409,0.8199618463923131,0.8170317519659407,0.9115433766584145,0.8665745116074273
mos,0.9225532480708553,0.8144140570433094,0.8345450082710307,0.8458174907758569,0.854332451040263
bam,0.8681354132602107,0.801288001733871,0.8489077087181579,0.8881628970004845,0.8516235051781811
ewe,0.9195228508301608,0.8029398809193884,0.8650469429070003,0.8052368359630422,0.8481866276548979
pcm,0.898500292671721,0.8168802915942148,0.8811112347637701,0.764514955742507,0.8402516936930532
fon,0.8959229937819319,0.79546180866393,0.7942541556083064,0.8399926532728927,0.8314079028317652
yor,0.9030780729112485,0.7513396554855002,0.6908218043702458,0.8511907651746285,0.7991075744854057
bbj,0.8123163855176748,0.8227144039413448,0.6589571415525497,0.8098801354091165,0.7759670166051714
