layer,model,rank_type,language,pearson
2,mbert,top5,twi,0.8849391478002486
2,mbert,top5,luo,0.8832101465790834
2,mbert,top5,kin,0.8797654093190885
2,mbert,top5,ibo,0.8792615394858725
2,mbert,top5,lug,0.8764047543256345
2,mbert,worst5,bbj,0.7278604493862815
2,mbert,worst5,yor,0.7489399673232672
2,mbert,worst5,fon,0.7966544344449047
2,mbert,worst5,bam,0.8168879410121417
2,mbert,worst5,mos,0.8253323831457375
3,mbert,top5,kin,0.9219612063472783
3,mbert,top5,twi,0.9218932499082833
3,mbert,top5,ibo,0.9184237062010168
3,mbert,top5,luo,0.9181837991476459
3,mbert,top5,swa,0.917372406044589
3,mbert,worst5,bbj,0.8182530490172867
3,mbert,worst5,yor,0.8326084368058791
3,mbert,worst5,fon,0.8651485774608225
3,mbert,worst5,bam,0.8812805385671199
3,mbert,worst5,mos,0.8844396855321603
10,mbert,top5,kin,0.9773819090380814
10,mbert,top5,twi,0.977319711402043
10,mbert,top5,swa,0.9757893583676168
10,mbert,top5,luo,0.9757063715156483
10,mbert,top5,ibo,0.9747293554011341
10,mbert,worst5,bbj,0.9432877832853568
10,mbert,worst5,yor,0.9438723432379609
10,mbert,worst5,mos,0.958312670048294
10,mbert,worst5,fon,0.9600913669267631
10,mbert,worst5,pcm,0.9610584647662386
12,mbert,top5,kin,0.8967582748406272
12,mbert,top5,twi,0.8919490572357769
12,mbert,top5,luo,0.8900057193440649
12,mbert,top5,lug,0.887816807572736
12,mbert,top5,swa,0.8843408963121776
12,mbert,worst5,yor,0.7690520849482251
12,mbert,worst5,bbj,0.7743584431989311
12,mbert,worst5,pcm,0.8314628696443509
12,mbert,worst5,mos,0.8317890391551215
12,mbert,worst5,fon,0.8380815699885019
