,LOC,PER,ORG,DATE,Mean
nya,0.989058252579015,0.9625911256224037,0.9829625491430062,0.9818112516492735,0.9791057947484246
kin,0.988974993384628,0.95941042832111,0.977112143029989,0.9889565704456539,0.9786135337953452
sna,0.9864812504523486,0.9504508619335396,0.9794239920931773,0.9884354938400103,0.976197899579769
lug,0.9852370411397254,0.9636173402579257,0.9725177414657802,0.980432653690712,0.9754511941385358
zul,0.9789617995996722,0.9538780951108708,0.9780185972369366,0.9849080120075329,0.973941625988753
luo,0.9845108462681522,0.9510090612791792,0.968482465327409,0.9830914560345008,0.9717734572273102
hau,0.977949963613721,0.9502421764363242,0.9762152983792262,0.9823540329256064,0.9716903678387194
xho,0.9820154706278017,0.9355870553487076,0.9770524877051814,0.9870250919402961,0.9704200264054967
tsn,0.9738906632549832,0.9476176169273562,0.9677295973983053,0.9827553374227684,0.9679983037508533
twi,0.9757980034557499,0.9472336812362496,0.9784957897207265,0.9693533281779437,0.9677202006476674
wol,0.9720489484388257,0.9481156598931665,0.9752287452855681,0.9680414073720783,0.9658586902474097
swa,0.9720446034978734,0.9492919655678421,0.9624189497543477,0.9709528580008427,0.9636770942052265
ibo,0.9827209983120606,0.9593215061864028,0.9302295536918394,0.9802778993447547,0.9631374893837643
bam,0.9699476261672857,0.9527828714224228,0.9438929087437866,0.9778145444821809,0.961109487703919
mos,0.9696519589384034,0.9452270382887665,0.963271822938798,0.960730239950588,0.959720265029139
ewe,0.9607513256645389,0.9334647530163113,0.9541474751624475,0.9671949160440143,0.9538896174718279
yor,0.9535258403991653,0.9354862300814484,0.9536551171475011,0.9510914733632571,0.948439665247843
pcm,0.9442932196790652,0.9359576443501461,0.9300222111972005,0.9027122271136975,0.9282463255850273
bbj,0.8810983649133062,0.9219645396094464,0.9248604302615905,0.9295645870695036,0.9143719804634617
fon,0.9481953484832631,0.9252940461068815,0.9284466497098438,0.8366025755857064,0.9096346549714237
