layer,model,rank_type,language,pearson
2,mbert,top5,nya,0.9999419759080246
2,mbert,top5,lug,0.9999383314893249
2,mbert,top5,xho,0.9999382222413983
2,mbert,top5,zul,0.9999313537096047
2,mbert,top5,hau,0.9999263684497088
2,mbert,worst5,yor,0.9997770804045046
2,mbert,worst5,fon,0.9998197293570116
2,mbert,worst5,bbj,0.9998452576893678
2,mbert,worst5,pcm,0.9998500253372409
2,mbert,worst5,ewe,0.9998928048204557
3,mbert,top5,lug,0.9999724057467371
3,mbert,top5,nya,0.9999710007076217
3,mbert,top5,zul,0.9999693140441216
3,mbert,top5,xho,0.9999691426853865
3,mbert,top5,hau,0.9999641370556136
3,mbert,worst5,yor,0.9999169107539142
3,mbert,worst5,bbj,0.9999218644381287
3,mbert,worst5,pcm,0.9999227798696433
3,mbert,worst5,fon,0.9999269669947521
3,mbert,worst5,swa,0.9999466294720922
10,mbert,top5,lug,0.9846837433457662
10,mbert,top5,nya,0.9837320866784759
10,mbert,top5,kin,0.9811718768909491
10,mbert,top5,sna,0.9808012039385826
10,mbert,top5,xho,0.979558037882124
10,mbert,worst5,pcm,0.956750054672032
10,mbert,worst5,fon,0.9576681672594293
10,mbert,worst5,swa,0.9592029310196134
10,mbert,worst5,bbj,0.9604133950830098
10,mbert,worst5,yor,0.964484145264658
12,mbert,top5,nya,0.9855517605714961
12,mbert,top5,lug,0.9845630724312084
12,mbert,top5,kin,0.983576723969094
12,mbert,top5,sna,0.9833445139745719
12,mbert,top5,xho,0.9792434366950745
12,mbert,worst5,fon,0.9122977231007274
12,mbert,worst5,bbj,0.9148984760715264
12,mbert,worst5,pcm,0.9425595476253056
12,mbert,worst5,yor,0.9514336956496403
12,mbert,worst5,ewe,0.9612549078511521
