layer,model,rank_type,language,pearson
2,xlmr,top5,tsn,0.9999889503982935
2,xlmr,top5,nya,0.9999866031510177
2,xlmr,top5,zul,0.9999865822595299
2,xlmr,top5,kin,0.9999849369881552
2,xlmr,top5,twi,0.9999844680995482
2,xlmr,worst5,hau,0.9999294620722337
2,xlmr,worst5,bam,0.9999405941600903
2,xlmr,worst5,pcm,0.9999436651416068
2,xlmr,worst5,bbj,0.9999442857268013
2,xlmr,worst5,fon,0.9999455832272764
3,xlmr,top5,twi,0.9999935920174925
3,xlmr,top5,ewe,0.9999934672679339
3,xlmr,top5,luo,0.9999934658384304
3,xlmr,top5,kin,0.9999928846778359
3,xlmr,top5,zul,0.9999918527900227
3,xlmr,worst5,pcm,0.9999773252623207
3,xlmr,worst5,bbj,0.9999807832868879
3,xlmr,worst5,fon,0.9999810245039027
3,xlmr,worst5,bam,0.9999820595148621
3,xlmr,worst5,swa,0.9999826606294094
10,xlmr,top5,tsn,0.9999984928913879
10,xlmr,top5,kin,0.9999984061406783
10,xlmr,top5,nya,0.9999980538273062
10,xlmr,top5,zul,0.999998051759866
10,xlmr,top5,luo,0.9999976243552098
10,xlmr,worst5,fon,0.9999668605051817
10,xlmr,worst5,hau,0.9999875747513901
10,xlmr,worst5,pcm,0.9999877903943964
10,xlmr,worst5,bbj,0.9999912967999298
10,xlmr,worst5,ibo,0.999991482794535
12,xlmr,top5,luo,0.9999125294997024
12,xlmr,top5,wol,0.9999027930724368
12,xlmr,top5,sna,0.9999021857628605
12,xlmr,top5,kin,0.9999017710911611
12,xlmr,top5,ibo,0.9999014059410299
12,xlmr,worst5,hau,0.995029784401118
12,xlmr,worst5,fon,0.9990988220930079
12,xlmr,worst5,pcm,0.9995174141391461
12,xlmr,worst5,twi,0.9996432755240441
12,xlmr,worst5,bbj,0.9996478197194073
