,ORG,DATE,PER,LOC,Mean
luo,0.9827176770637434,0.9764570911071107,0.8819770024442345,0.9798645085967459,0.9552540698029586
twi,0.9862526360259192,0.9812294873310164,0.8725866586634708,0.9734830910247353,0.9533879682612855
nya,0.9837112046336558,0.9770753413192613,0.8639039913575451,0.9705454235459903,0.9488089902141131
ewe,0.9816094315491031,0.9722831162273335,0.8759094321057775,0.9645824843700225,0.9485961160630592
sna,0.9779262492703317,0.9892311815289001,0.8650045485776828,0.9614894355488461,0.9484128537314401
lug,0.9682416205272285,0.9769216481504759,0.8714768722585342,0.9769911117268504,0.9484078131657723
xho,0.9768135191389934,0.9861564010422569,0.8669855499159023,0.9585903933968234,0.947136465873494
kin,0.981972850391479,0.9852273900917818,0.8481182855578344,0.9723511997440342,0.9469174314462825
zul,0.9802528301518733,0.9802056938934665,0.8611584906062931,0.9658679910145733,0.9468712514165515
ibo,0.9762044559065387,0.9896183549977877,0.861128635707063,0.9574462654473787,0.946099428014692
tsn,0.9785628315756846,0.9829053319340146,0.8622933238518583,0.9577883528847917,0.9453874600615872
mos,0.978788404541606,0.9749854587640563,0.8706049869003003,0.9541933675890971,0.944643054448765
wol,0.9770237241591141,0.9804454139608373,0.8538462896099682,0.956833011427023,0.9420371097892356
swa,0.9673962991615271,0.9437661800102619,0.8730844487344296,0.9738394132476691,0.939521585288472
yor,0.9796803631367891,0.9725489547211359,0.8591149492150127,0.9405111822747347,0.9379638623369181
bam,0.9667827762562574,0.9750308923097893,0.8443780939116015,0.9622318411071968,0.9371059008962113
bbj,0.9703127782872634,0.960954173260066,0.8711376724125648,0.9437947647101808,0.9365498471675187
pcm,0.9571560927958477,0.9350405835569152,0.8792295070050739,0.966874487969868,0.9345751678319262
hau,0.9778447744648912,0.9406130387632076,0.8673588127380061,0.9388420989740285,0.9311646812350334
fon,0.9702763170890497,0.9459292213320512,0.8735649635055706,0.9343128501853591,0.9310208380280076
