layer,model,rank_type,language,pearson
2,xlmr,top5,lug,0.9999928177476649
2,xlmr,top5,nya,0.9999927294345772
2,xlmr,top5,tsn,0.9999925791487789
2,xlmr,top5,kin,0.9999925186120675
2,xlmr,top5,swa,0.9999905948348801
2,xlmr,worst5,bam,0.9999731202014124
2,xlmr,worst5,fon,0.9999760327741435
2,xlmr,worst5,yor,0.9999818269990984
2,xlmr,worst5,ibo,0.999982376157526
2,xlmr,worst5,twi,0.9999831822360563
3,xlmr,top5,lug,0.9999965458312143
3,xlmr,top5,nya,0.9999958379558456
3,xlmr,top5,kin,0.9999954218260265
3,xlmr,top5,sna,0.9999952055149778
3,xlmr,top5,xho,0.9999947947292056
3,xlmr,worst5,pcm,0.9999811724140201
3,xlmr,worst5,fon,0.9999878657016211
3,xlmr,worst5,swa,0.9999892376030647
3,xlmr,worst5,bam,0.999990547185592
3,xlmr,worst5,ibo,0.9999907370101828
10,xlmr,top5,lug,0.9999955549794552
10,xlmr,top5,zul,0.9999953532903315
10,xlmr,top5,swa,0.999994784897164
10,xlmr,top5,ibo,0.9999945352963072
10,xlmr,top5,xho,0.9999944733357129
10,xlmr,worst5,bam,0.9999852726809242
10,xlmr,worst5,pcm,0.9999860040680024
10,xlmr,worst5,wol,0.9999910468583646
10,xlmr,worst5,mos,0.9999911880382809
10,xlmr,worst5,fon,0.9999912118706025
12,xlmr,top5,ewe,0.9983817427378573
12,xlmr,top5,hau,0.9983023594237362
12,xlmr,top5,tsn,0.997413789665982
12,xlmr,top5,bam,0.9973199348196569
12,xlmr,top5,yor,0.9972452501149152
12,xlmr,worst5,fon,0.9950366316476799
12,xlmr,worst5,kin,0.9952476750916679
12,xlmr,worst5,nya,0.9962504141418431
12,xlmr,worst5,twi,0.9962833429449014
12,xlmr,worst5,bbj,0.9963249972356423
