layer,model,rank_type,language,pearson
2,xlmr,top5,twi,0.9392499247977006
2,xlmr,top5,ibo,0.9386047779059581
2,xlmr,top5,kin,0.9371822028133172
2,xlmr,top5,sna,0.9371301360124595
2,xlmr,top5,luo,0.9354931620338364
2,xlmr,worst5,hau,0.9070683099433219
2,xlmr,worst5,pcm,0.9075187913466657
2,xlmr,worst5,fon,0.9165635993790086
2,xlmr,worst5,yor,0.9168080708614316
2,xlmr,worst5,bbj,0.917141522735775
3,xlmr,top5,twi,0.9567482289275686
3,xlmr,top5,ibo,0.9563576109629706
3,xlmr,top5,kin,0.9560575417836322
3,xlmr,top5,sna,0.9552958697960972
3,xlmr,top5,luo,0.9541539954129299
3,xlmr,worst5,pcm,0.9345958710067491
3,xlmr,worst5,hau,0.9356276295680404
3,xlmr,worst5,bam,0.9412259524345246
3,xlmr,worst5,fon,0.941604651217979
3,xlmr,worst5,bbj,0.9429120046593329
10,xlmr,top5,twi,0.9653620308633546
10,xlmr,top5,sna,0.9644342419824113
10,xlmr,top5,nya,0.9643774899758788
10,xlmr,top5,luo,0.9642168931809936
10,xlmr,top5,kin,0.964020320256988
10,xlmr,worst5,bbj,0.9436076142066134
10,xlmr,worst5,hau,0.9445421025783255
10,xlmr,worst5,fon,0.9478495207635009
10,xlmr,worst5,pcm,0.9479012876878217
10,xlmr,worst5,yor,0.9487083194446421
12,xlmr,top5,luo,0.997134764435442
12,xlmr,top5,sna,0.9971257188920883
12,xlmr,top5,kin,0.9969728472711612
12,xlmr,top5,nya,0.9969390620088476
12,xlmr,top5,zul,0.9967110608539029
12,xlmr,worst5,bbj,0.9943723877431945
12,xlmr,worst5,fon,0.9946655197464493
12,xlmr,worst5,hau,0.9949584015638011
12,xlmr,worst5,yor,0.9952268718671204
12,xlmr,worst5,bam,0.9958465250037276
