layer,model,rank_type,language,cosine,config
1,mbert,top5,lug,0.9302887219278827,use0_use0_con4_max500_bat32
1,mbert,top5,twi,0.9127081492227153,use0_use0_con4_max500_bat32
1,mbert,top5,nya,0.9089588859606624,use0_use0_con4_max500_bat32
1,mbert,top5,luo,0.9073986831695268,use0_use0_con4_max500_bat32
1,mbert,top5,kin,0.8991580714619485,use0_use0_con4_max500_bat32
1,mbert,worst5,bbj,0.7469641790947306,use0_use0_con4_max500_bat32
1,mbert,worst5,yor,0.7727696585597099,use0_use0_con4_max500_bat32
1,mbert,worst5,fon,0.8080206808203655,use0_use0_con4_max500_bat32
1,mbert,worst5,bam,0.8111596990570257,use0_use0_con4_max500_bat32
1,mbert,worst5,ewe,0.8443065742684308,use0_use0_con4_max500_bat32
2,mbert,top5,lug,0.9405659737341265,use0_use0_con4_max500_bat32
2,mbert,top5,twi,0.9231126848416824,use0_use0_con4_max500_bat32
2,mbert,top5,luo,0.9206258480918404,use0_use0_con4_max500_bat32
2,mbert,top5,nya,0.9184313024548535,use0_use0_con4_max500_bat32
2,mbert,top5,kin,0.9126657483515788,use0_use0_con4_max500_bat32
2,mbert,worst5,bbj,0.7758165558060486,use0_use0_con4_max500_bat32
2,mbert,worst5,yor,0.7995523771244292,use0_use0_con4_max500_bat32
2,mbert,worst5,fon,0.831918542705396,use0_use0_con4_max500_bat32
2,mbert,worst5,bam,0.8355444213604398,use0_use0_con4_max500_bat32
2,mbert,worst5,pcm,0.8551387109228074,use0_use0_con4_max500_bat32
3,mbert,top5,lug,0.9596801511721882,use0_use0_con4_max500_bat32
3,mbert,top5,luo,0.9479183347134537,use0_use0_con4_max500_bat32
3,mbert,top5,twi,0.9473503590980354,use0_use0_con4_max500_bat32
3,mbert,top5,nya,0.946414289751374,use0_use0_con4_max500_bat32
3,mbert,top5,kin,0.9447995005213669,use0_use0_con4_max500_bat32
3,mbert,worst5,bbj,0.8502914987138699,use0_use0_con4_max500_bat32
3,mbert,worst5,yor,0.8684244413293468,use0_use0_con4_max500_bat32
3,mbert,worst5,fon,0.8892469679579027,use0_use0_con4_max500_bat32
3,mbert,worst5,bam,0.8931964955692714,use0_use0_con4_max500_bat32
3,mbert,worst5,pcm,0.8979849725260678,use0_use0_con4_max500_bat32
4,mbert,top5,lug,0.9690510870999929,use0_use0_con4_max500_bat32
4,mbert,top5,luo,0.9601572452064921,use0_use0_con4_max500_bat32
4,mbert,top5,twi,0.958486807659941,use0_use0_con4_max500_bat32
4,mbert,top5,nya,0.9584289088503244,use0_use0_con4_max500_bat32
4,mbert,top5,kin,0.9573926979527634,use0_use0_con4_max500_bat32
4,mbert,worst5,bbj,0.8727110953734831,use0_use0_con4_max500_bat32
4,mbert,worst5,yor,0.8886329336486658,use0_use0_con4_max500_bat32
4,mbert,worst5,pcm,0.9124275810276166,use0_use0_con4_max500_bat32
4,mbert,worst5,fon,0.9132121760921489,use0_use0_con4_max500_bat32
4,mbert,worst5,ewe,0.9149291715723196,use0_use0_con4_max500_bat32
5,mbert,top5,lug,0.9751262721456186,use0_use0_con4_max500_bat32
5,mbert,top5,luo,0.9699465650128336,use0_use0_con4_max500_bat32
5,mbert,top5,kin,0.9688004624523608,use0_use0_con4_max500_bat32
5,mbert,top5,twi,0.968615350909089,use0_use0_con4_max500_bat32
5,mbert,top5,nya,0.9668422793389627,use0_use0_con4_max500_bat32
5,mbert,worst5,bbj,0.9065637985039944,use0_use0_con4_max500_bat32
5,mbert,worst5,yor,0.9187118590816477,use0_use0_con4_max500_bat32
5,mbert,worst5,pcm,0.9306114765094983,use0_use0_con4_max500_bat32
5,mbert,worst5,ewe,0.9341154734737613,use0_use0_con4_max500_bat32
5,mbert,worst5,fon,0.93638507737101,use0_use0_con4_max500_bat32
6,mbert,top5,lug,0.9813759551371433,use0_use0_con4_max500_bat32
6,mbert,top5,luo,0.9777294323339081,use0_use0_con4_max500_bat32
6,mbert,top5,kin,0.9768023481166108,use0_use0_con4_max500_bat32
6,mbert,top5,twi,0.9757713163195847,use0_use0_con4_max500_bat32
6,mbert,top5,nya,0.9736885192142279,use0_use0_con4_max500_bat32
6,mbert,worst5,bbj,0.9267241645200527,use0_use0_con4_max500_bat32
6,mbert,worst5,yor,0.9347640008944657,use0_use0_con4_max500_bat32
6,mbert,worst5,pcm,0.9401177231340709,use0_use0_con4_max500_bat32
6,mbert,worst5,fon,0.9492566163785191,use0_use0_con4_max500_bat32
6,mbert,worst5,ewe,0.949421074957543,use0_use0_con4_max500_bat32
7,mbert,top5,lug,0.971748370253995,use0_use0_con4_max500_bat32
7,mbert,top5,kin,0.9697805418235457,use0_use0_con4_max500_bat32
7,mbert,top5,luo,0.968794933708092,use0_use0_con4_max500_bat32
7,mbert,top5,twi,0.9681561662403646,use0_use0_con4_max500_bat32
7,mbert,top5,nya,0.9642743511380616,use0_use0_con4_max500_bat32
7,mbert,worst5,bbj,0.9078773715352509,use0_use0_con4_max500_bat32
7,mbert,worst5,yor,0.9175496938133724,use0_use0_con4_max500_bat32
7,mbert,worst5,pcm,0.9192407958261115,use0_use0_con4_max500_bat32
7,mbert,worst5,fon,0.93496922904847,use0_use0_con4_max500_bat32
