,LOC,PER,ORG,DATE,Mean
lug,0.871009917057591,0.8282561084004073,0.8569767177961318,0.8497802615307065,0.8515057511962092
twi,0.8414732871889137,0.8732706523269418,0.8402641994022908,0.734214374835973,0.8223056284385298
nya,0.8116825706396605,0.8637142416738053,0.8271139794603484,0.777954005836996,0.8201161994027026
sna,0.7237377696834435,0.8010732651008202,0.8322042139315057,0.8875090159618813,0.8111310661694127
zul,0.7973011411403733,0.7748474076087613,0.8468841374349345,0.8200685717784564,0.8097753144906314
luo,0.7973059950895803,0.7863796775964947,0.8725444409584794,0.7764681726433017,0.808174571571964
ibo,0.6858142892099391,0.8566905699177184,0.8077476329202982,0.859533809306542,0.8024465753386244
kin,0.7485567073258695,0.8618374156341958,0.7623623694562026,0.8355814694163288,0.8020844904581492
tsn,0.678950807964827,0.8023193729794977,0.8526142628072271,0.8354122825627013,0.7923241815785633
bam,0.7491285946156742,0.8458923298676762,0.7558838768034402,0.8037230648583567,0.7886569665362868
swa,0.8174483505985154,0.7897109741502848,0.7668098601828647,0.7216646089464118,0.7739084484695191
hau,0.6743804315627691,0.8452129113725526,0.8135062445450498,0.7416749480954884,0.7686936338939651
xho,0.6428903569107063,0.789872166104163,0.8167872583888202,0.7791741417228972,0.7571809807816466
wol,0.6250102833416773,0.8467975043508793,0.801375410254781,0.7462844031483098,0.7548669002739119
mos,0.7046337094122589,0.8030212270314557,0.8002230817878295,0.6851787321570596,0.7482641875971509
fon,0.680593731361214,0.8149490600980086,0.8049794589345038,0.6773379516083138,0.7444650505005099
ewe,0.6959899962409707,0.7857444825683887,0.8353852046400887,0.5517412818795148,0.7172152413322407
pcm,0.7752268463543396,0.8273909084873635,0.6463617764556949,0.47316305456077346,0.6805356464645429
yor,0.48920230145463933,0.7295039081371565,0.7398485964149493,0.7160142963928862,0.6686422755999077
bbj,0.468653100192727,0.7578830452159621,0.713550130880741,0.6111957054656312,0.6378204954387653
