,LOC,PER,ORG,DATE,Mean
lug,0.9170105439690474,0.9645052493483262,0.8815603093590976,0.9232599636258829,0.9215840165755884
twi,0.899499368079983,0.9237027481349294,0.9523032083755257,0.9031980996011674,0.9196758560479014
nya,0.8583811525427544,0.9245267769251542,0.9523506015942135,0.8837847528973614,0.9047608209898709
kin,0.893437979400069,0.880824704644409,0.931122562815843,0.9107409251636616,0.9040315430059958
luo,0.8873676092800691,0.9013122545717475,0.9423981427336612,0.8581509056492617,0.8973072280586848
sna,0.8201121572615585,0.9189939412251679,0.9262931701709366,0.9223484377484984,0.8969369266015403
ibo,0.7915012284465528,0.9243400924287684,0.919028011306897,0.9387932215477007,0.8934156384324797
tsn,0.817307882664809,0.9053698237506524,0.9285152770634701,0.9106897237326939,0.8904706768029064
xho,0.8027686076226971,0.9072543940411474,0.9125987129026263,0.91059906215923,0.8833051941814252
zul,0.8275806340894756,0.8813486575230977,0.929122591394696,0.881183233384037,0.8798087790978265
ewe,0.8152843860076552,0.9091849000622984,0.9314261907150997,0.8548720050522629,0.8776918704593291
wol,0.7617027717628638,0.9337304652745834,0.9311245870918381,0.8724988930266826,0.874764179288992
mos,0.7861300456332165,0.9197759969264078,0.9089951233134789,0.8744183456026567,0.87232987786894
swa,0.8885096997213998,0.8769495348604677,0.8594773950979795,0.7653893000971335,0.8475814824442451
yor,0.7274879724814677,0.8648326678977729,0.9208654704241326,0.8604721972928341,0.8434145770240519
bam,0.7963930711149129,0.8909564336668826,0.8188337950469726,0.8568752147926281,0.8407646286553491
fon,0.7367954668382262,0.9133617780672073,0.8981030647803147,0.8112060587457328,0.8398665921078703
bbj,0.7182804276856068,0.8901664618226702,0.9078912854896265,0.8214090141148602,0.834436797278191
hau,0.7789013962889338,0.9061635080643003,0.8956036367821093,0.7304121283835573,0.8277701673797252
pcm,0.845009278927443,0.9278984376044106,0.8346050898613672,0.6947245952428942,0.8255593504090288
