,DATE,PER,ORG,LOC,Mean
yor,0.9999941858936013,0.9999932482108795,0.999997879235503,0.9999949976173788,0.9999950777393407
twi,0.999992548662472,0.9999979919267076,0.9999954051585405,0.9999943016856074,0.9999950618583318
xho,0.9999950774655797,0.9999949336608688,0.9999953356005377,0.9999944560525893,0.999994950694894
sna,0.9999958667367523,0.9999902668310725,0.9999961061906579,0.9999966867378036,0.9999947316240716
nya,0.9999862795624016,0.9999971610892142,0.9999982606468516,0.9999942313590201,0.9999939831643718
wol,0.999990630271383,0.9999979983697387,0.9999969760176303,0.9999867333400844,0.9999930844997091
kin,0.9999810466580158,0.9999940808813496,0.9999984248328055,0.9999981032693381,0.9999929139103773
tsn,0.9999898636422152,0.9999952177839906,0.9999929654109638,0.9999925776569767,0.9999926561235366
luo,0.9999826830988571,0.999995341588083,0.9999990248916529,0.9999933346081853,0.9999925960466947
zul,0.9999881634290276,0.9999925062067264,0.9999978734548971,0.9999907684840637,0.9999923278936786
bam,0.9999929004852335,0.999993052462293,0.9999945819047303,0.9999882543327835,0.99999219729626
mos,0.9999851659301473,0.99999844475596,0.9999957619517622,0.9999866935987537,0.9999915165591559
swa,0.9999788168717711,0.9999950602012723,0.9999952999382439,0.9999954426603457,0.9999911549179081
ibo,0.9999805250350962,0.999998832949088,0.9999505212397873,0.9999937849717858,0.9999809160489394
bbj,0.9999933154673326,0.9999975415408624,0.9999383046234046,0.9999934760310109,0.9999806594156526
ewe,0.9999087472770398,0.9999956235594476,0.9999985737297175,0.9999930531166267,0.9999739994207079
lug,0.999979732001719,0.999995641627853,0.999916138789846,0.9999955543996839,0.9999717667047754
pcm,0.9999914350299579,0.9998022457889457,0.9999893613879376,0.9999952448743058,0.9999445717702868
hau,0.9998310767826616,0.999957439107171,0.9999699319090847,0.9999896540555756,0.9999370254636233
fon,0.999842750037769,0.9999849216534474,0.9997551044598736,0.9998751944012453,0.9998644926380839
