layer,model,rank_type,language,cosine,config
1,xlmr,top5,lug,0.9999656596454625,use1_use1_con2_max500_bat32
1,xlmr,top5,nya,0.9999643566315857,use1_use1_con2_max500_bat32
1,xlmr,top5,tsn,0.9999595753928412,use1_use1_con2_max500_bat32
1,xlmr,top5,kin,0.999952819765309,use1_use1_con2_max500_bat32
1,xlmr,top5,mos,0.9999526059866368,use1_use1_con2_max500_bat32
1,xlmr,worst5,fon,0.9997436951691645,use1_use1_con2_max500_bat32
1,xlmr,worst5,bam,0.9997600574551377,use1_use1_con2_max500_bat32
1,xlmr,worst5,hau,0.9998148293557482,use1_use1_con2_max500_bat32
1,xlmr,worst5,ibo,0.9998870181875179,use1_use1_con2_max500_bat32
1,xlmr,worst5,yor,0.9998904527356269,use1_use1_con2_max500_bat32
2,xlmr,top5,nya,0.9999962032792062,use1_use1_con2_max500_bat32
2,xlmr,top5,kin,0.9999955867864176,use1_use1_con2_max500_bat32
2,xlmr,top5,sna,0.9999955537320864,use1_use1_con2_max500_bat32
2,xlmr,top5,luo,0.9999946887624369,use1_use1_con2_max500_bat32
2,xlmr,top5,zul,0.9999946150889393,use1_use1_con2_max500_bat32
2,xlmr,worst5,fon,0.9999823237104458,use1_use1_con2_max500_bat32
2,xlmr,worst5,bam,0.9999823360476741,use1_use1_con2_max500_bat32
2,xlmr,worst5,hau,0.9999836667760941,use1_use1_con2_max500_bat32
2,xlmr,worst5,swa,0.999987519793684,use1_use1_con2_max500_bat32
2,xlmr,worst5,lug,0.999987774410421,use1_use1_con2_max500_bat32
3,xlmr,top5,sna,0.9999972446533706,use1_use1_con2_max500_bat32
3,xlmr,top5,xho,0.9999960739965967,use1_use1_con2_max500_bat32
3,xlmr,top5,lug,0.9999959820185853,use1_use1_con2_max500_bat32
3,xlmr,top5,nya,0.9999953129629223,use1_use1_con2_max500_bat32
3,xlmr,top5,kin,0.9999951703628063,use1_use1_con2_max500_bat32
3,xlmr,worst5,pcm,0.9999778314650567,use1_use1_con2_max500_bat32
3,xlmr,worst5,swa,0.9999856006083514,use1_use1_con2_max500_bat32
3,xlmr,worst5,fon,0.9999887893432741,use1_use1_con2_max500_bat32
3,xlmr,worst5,ewe,0.9999889329767502,use1_use1_con2_max500_bat32
3,xlmr,worst5,ibo,0.9999907542872133,use1_use1_con2_max500_bat32
4,xlmr,top5,sna,0.9999987585621308,use1_use1_con2_max500_bat32
4,xlmr,top5,lug,0.9999980358086905,use1_use1_con2_max500_bat32
4,xlmr,top5,nya,0.9999978223996334,use1_use1_con2_max500_bat32
4,xlmr,top5,mos,0.9999978202484661,use1_use1_con2_max500_bat32
4,xlmr,top5,kin,0.9999976568413542,use1_use1_con2_max500_bat32
4,xlmr,worst5,pcm,0.9999874287660162,use1_use1_con2_max500_bat32
4,xlmr,worst5,swa,0.9999914419914763,use1_use1_con2_max500_bat32
4,xlmr,worst5,twi,0.9999915987039344,use1_use1_con2_max500_bat32
4,xlmr,worst5,ewe,0.9999931856284741,use1_use1_con2_max500_bat32
4,xlmr,worst5,hau,0.9999942946010425,use1_use1_con2_max500_bat32
5,xlmr,top5,sna,0.9999939269830277,use1_use1_con2_max500_bat32
5,xlmr,top5,lug,0.999992751973887,use1_use1_con2_max500_bat32
5,xlmr,top5,nya,0.9999925514818103,use1_use1_con2_max500_bat32
5,xlmr,top5,kin,0.999991584055643,use1_use1_con2_max500_bat32
5,xlmr,top5,xho,0.9999899348973258,use1_use1_con2_max500_bat32
5,xlmr,worst5,fon,0.9999769050111794,use1_use1_con2_max500_bat32
5,xlmr,worst5,bam,0.9999802959654827,use1_use1_con2_max500_bat32
5,xlmr,worst5,pcm,0.9999817928091138,use1_use1_con2_max500_bat32
5,xlmr,worst5,twi,0.9999835806262236,use1_use1_con2_max500_bat32
5,xlmr,worst5,swa,0.9999842182803795,use1_use1_con2_max500_bat32
6,xlmr,top5,sna,0.9999995829337063,use1_use1_con2_max500_bat32
6,xlmr,top5,nya,0.9999994785962497,use1_use1_con2_max500_bat32
6,xlmr,top5,lug,0.9999994687795747,use1_use1_con2_max500_bat32
6,xlmr,top5,xho,0.999999335342886,use1_use1_con2_max500_bat32
6,xlmr,top5,wol,0.9999993100317618,use1_use1_con2_max500_bat32
6,xlmr,worst5,fon,0.9999985640194107,use1_use1_con2_max500_bat32
6,xlmr,worst5,bam,0.999998784605297,use1_use1_con2_max500_bat32
6,xlmr,worst5,pcm,0.9999988289072825,use1_use1_con2_max500_bat32
6,xlmr,worst5,twi,0.9999988327870604,use1_use1_con2_max500_bat32
6,xlmr,worst5,swa,0.9999989608385471,use1_use1_con2_max500_bat32
7,xlmr,top5,sna,0.999998376865415,use1_use1_con2_max500_bat32
7,xlmr,top5,bam,0.9999980717295978,use1_use1_con2_max500_bat32
7,xlmr,top5,nya,0.9999979427734025,use1_use1_con2_max500_bat32
7,xlmr,top5,lug,0.9999978082260536,use1_use1_con2_max500_bat32
7,xlmr,top5,xho,0.9999974087394099,use1_use1_con2_max500_bat32
7,xlmr,worst5,yor,0.9999950148487486,use1_use1_con2_max500_bat32
7,xlmr,worst5,kin,0.9999957997423539,use1_use1_con2_max500_bat32
7,xlmr,worst5,zul,0.9999958042457888,use1_use1_con2_max500_bat32
7,xlmr,worst5,hau,0.9999958077020181,use1_use1_con2_max500_bat32
7,xlmr,worst5,tsn,0.9999959955710757,use1_use1_con2_max500_bat32
8,xlmr,top5,sna,0.999997667150383,use1_use1_con2_max500_bat32
8,xlmr,top5,kin,0.9999966696624532,use1_use1_con2_max500_bat32
8,xlmr,top5,xho,0.9999966012566236,use1_use1_con2_max500_bat32
8,xlmr,top5,nya,0.9999965752805159,use1_use1_con2_max500_bat32
8,xlmr,top5,lug,0.9999965069810687,use1_use1_con2_max500_bat32
8,xlmr,worst5,bbj,0.9999831729000537,use1_use1_con2_max500_bat32
8,xlmr,worst5,hau,0.9999835245337281,use1_use1_con2_max500_bat32
8,xlmr,worst5,mos,0.9999927813005836,use1_use1_con2_max500_bat32
8,xlmr,worst5,pcm,0.9999929318857537,use1_use1_con2_max500_bat32
8,xlmr,worst5,yor,0.999994268621168,use1_use1_con2_max500_bat32
9,xlmr,top5,sna,0.9999991735325987,use1_use1_con2_max500_bat32
9,xlmr,top5,nya,0.9999988166486333,use1_use1_con2_max500_bat32
9,xlmr,top5,lug,0.9999986005247536,use1_use1_con2_max500_bat32
9,xlmr,top5,fon,0.9999984659662909,use1_use1_con2_max500_bat32
9,xlmr,top5,pcm,0.9999984521808498,use1_use1_con2_max500_bat32
9,xlmr,worst5,bbj,0.9999957877515137,use1_use1_con2_max500_bat32
9,xlmr,worst5,zul,0.9999962345422297,use1_use1_con2_max500_bat32
9,xlmr,worst5,hau,0.9999965920913811,use1_use1_con2_max500_bat32
9,xlmr,worst5,yor,0.9999966098763015,use1_use1_con2_max500_bat32
9,xlmr,worst5,mos,0.9999968327322455,use1_use1_con2_max500_bat32
10,xlmr,top5,ibo,0.9999972381279401,use1_use1_con2_max500_bat32
10,xlmr,top5,sna,0.999996755805433,use1_use1_con2_max500_bat32
10,xlmr,top5,ewe,0.9999956535807387,use1_use1_con2_max500_bat32
10,xlmr,top5,xho,0.999995569706918,use1_use1_con2_max500_bat32
10,xlmr,top5,twi,0.9999951292120578,use1_use1_con2_max500_bat32
10,xlmr,worst5,pcm,0.9999776451558344,use1_use1_con2_max500_bat32
10,xlmr,worst5,tsn,0.9999861286291215,use1_use1_con2_max500_bat32
10,xlmr,worst5,swa,0.9999865761125459,use1_use1_con2_max500_bat32
10,xlmr,worst5,bbj,0.9999876933650205,use1_use1_con2_max500_bat32
10,xlmr,worst5,mos,0.9999899149723888,use1_use1_con2_max500_bat32
11,xlmr,top5,bam,0.9999828184312624,use1_use1_con2_max500_bat32
11,xlmr,top5,ewe,0.9999816761630365,use1_use1_con2_max500_bat32
