,DATE,LOC,PER,ORG,Mean
lug,0.9085964526064243,0.9296239486211697,0.9853999161704342,0.9319826149999536,0.9389007330994955
kin,0.9271845682757255,0.9416492759860979,0.9342553493459652,0.9484764018040204,0.9378913988529523
twi,0.8920201545219956,0.9075927508727398,0.9523608448121225,0.9593761677553112,0.9278374794905423
sna,0.9416479298385239,0.8658898400915727,0.9519552323351936,0.946415429696555,0.9264771079904612
luo,0.8981322759668239,0.9081273404782524,0.948611875552843,0.9499880931870506,0.9262148962962424
nya,0.9002214549724702,0.8861958776548596,0.9461443595046832,0.9614063245971456,0.9234920041822896
ibo,0.9474200925829728,0.868468635898088,0.9369564652326706,0.9143491798346525,0.916798593387096
swa,0.8606337897879257,0.9088539914134331,0.9483929833050485,0.9049247517135515,0.9057013790549897
tsn,0.9198266444190091,0.8247941822015838,0.9351802826575587,0.9350822580143768,0.9037208418231322
zul,0.9004404994278207,0.8580620955374322,0.9117602572858358,0.9411123733477104,0.9028438063996997
xho,0.9398737340959105,0.8111291376160658,0.9266389167520495,0.9293328300054265,0.901743654617363
wol,0.8855977010269942,0.799798975406668,0.9358219621051834,0.9324759843363324,0.8884236557187946
hau,0.9087586946675303,0.787887152053451,0.9368943896269596,0.9176984324178216,0.8878096671914406
mos,0.8459906668151069,0.8323417799874152,0.9357591411817394,0.9348672157815979,0.8872397009414649
ewe,0.7846429310467382,0.8642446279696153,0.9330403841463687,0.9381601087562484,0.8800220129797426
bam,0.8633303442159416,0.8400604663695904,0.9264599186587864,0.8679323765315874,0.8744457764439765
pcm,0.7207235025451315,0.8820717159239826,0.9454509772677764,0.8950087441102609,0.8608137349617878
fon,0.8075447754333108,0.7647995970097394,0.9274833147016939,0.8994471356925757,0.84981870570933
yor,0.8329190908124857,0.6920956270776932,0.8644465812726636,0.9159634594309928,0.8263561896484589
bbj,0.7903839037829864,0.6565817903674136,0.9406707880353089,0.8164377861113638,0.8010185670742681
