,DATE,ORG,PER,LOC,Mean
lug,0.9765513470847991,0.9750611171110787,0.995266324139443,0.9821453200608755,0.982256027099049
kin,0.9752387418953636,0.9855592266307163,0.9795657834565816,0.9808455446866503,0.980302324167328
twi,0.9664012795947226,0.9859012833943577,0.98635213454449,0.9700331428790538,0.977171960103156
luo,0.963097235164012,0.9831783314772724,0.9862262001400816,0.9749738053333324,0.9768688930286746
ibo,0.9799385664381028,0.9751949011357894,0.9823344674111605,0.9677156209237604,0.9762958889772033
sna,0.983120328315257,0.9825657981155375,0.9840016591586128,0.9541779980481055,0.9759664459093782
nya,0.9648595196989526,0.9853436434504456,0.9833117787079149,0.9617114548145048,0.9738065991679544
tsn,0.9686470248105054,0.976207359437032,0.9815986636512144,0.9465466918595342,0.9682499349395715
zul,0.9640438708334657,0.9795369039767128,0.9711343955529358,0.9510187779048092,0.9664334870669808
xho,0.9844035457263585,0.9709953517376678,0.9684778988236952,0.9390883281155292,0.9657412811008127
wol,0.9671432352688284,0.974882697828238,0.9760472781574068,0.9435165557925541,0.9653974417617568
hau,0.9690808727841953,0.9746797114621351,0.9745894058527892,0.9404502115260415,0.9647000504062903
swa,0.9402734296935015,0.9703464640423175,0.9843794198598952,0.9618710747614061,0.9642175970892801
bam,0.9602118752786152,0.9510231492933956,0.9730009720457697,0.9575341232952221,0.9604425299782506
mos,0.9374442373398763,0.975048390357294,0.9801143838156413,0.9444335374944403,0.9592601372518129
ewe,0.9360058180513773,0.975865477360239,0.9754642044246421,0.9453580996137714,0.9581733998625075
pcm,0.9049506322129915,0.9700031561580111,0.9857229808698468,0.9592923957184487,0.9549922912398245
fon,0.9171921916700148,0.9661607558383971,0.9758584207555496,0.9340370495889535,0.9483121044632288
yor,0.932203866293021,0.9688085213800753,0.9525508839395503,0.8975743754491989,0.9377844117654615
bbj,0.9257606531789865,0.9399171620875475,0.9787648034737139,0.883659352130462,0.9320254927176774
