,PER,LOC,ORG,DATE,Mean
lug,0.9663730929714052,0.9229788462667292,0.9177390968536421,0.9100916613477448,0.9292956743598804
kin,0.9073564891805103,0.9202863326413905,0.9366972460701647,0.92601528630978,0.9225888385504614
twi,0.9287694984064968,0.905481860369871,0.9444986611659388,0.8954290850765887,0.9185447762547239
luo,0.9198257425057859,0.9161254161873277,0.9332622391023468,0.9027583290697547,0.9179929317163038
nya,0.9425287945576977,0.8839646389507247,0.9476014822452898,0.8946722596627722,0.9171917938541211
sna,0.9372475858924068,0.8390640596090209,0.9209249353504991,0.9421203592520743,0.9098392350260003
zul,0.8835305126446207,0.8694587263370978,0.933546673859097,0.918176323461246,0.9011780590755154
ibo,0.9232123774568474,0.835536787585504,0.901513985108631,0.9441719157055722,0.9011087664641386
swa,0.9101664688332368,0.913820624413034,0.9017449234935158,0.8589459565766118,0.8961694933290996
xho,0.8938242209543095,0.8161554765979022,0.9205339262162952,0.9358236858739514,0.8915843274106146
hau,0.9228111584925198,0.8076753148415322,0.9161573806857256,0.9028339088333336,0.8873694407132778
wol,0.925866787151961,0.7998735724012811,0.9299028336760767,0.8810839153190915,0.8841817771371026
tsn,0.9046317624276974,0.8097154220666761,0.893759309371647,0.9184292138432776,0.8816339269273246
mos,0.9156862637143336,0.8409617325386717,0.9098909067602777,0.8587175858602222,0.8813141222183762
bam,0.9076957167088382,0.8494692358422227,0.8112761141248465,0.8623752464604875,0.8577040782840988
fon,0.9090048895907306,0.7842529048328793,0.9030119969852303,0.8109644007311599,0.8518085480350001
ewe,0.9066245172384955,0.832701421700832,0.9263558320810995,0.7236457260875025,0.8473318742769823
pcm,0.9324543481232221,0.8648588379452763,0.8422087992779148,0.7101984071796695,0.8374300981315207
yor,0.8490278277773398,0.702755240112401,0.8994993486824505,0.8433996858046575,0.8236705255942123
bbj,0.9075786848927827,0.6598516146876531,0.8498168741919059,0.7673124257172589,0.7961398998724002
