,LOC,PER,ORG,DATE,Mean
lug,0.9999688930298986,0.9999776845342774,0.9999737677302564,0.9999323356132548,0.9999631702269218
hau,0.9999731147488851,0.9999815602922048,0.9999624071879,0.9999312494937892,0.9999620829306948
nya,0.9999699916212359,0.9999722442757337,0.999971749057102,0.9999134038725911,0.9999568472066657
kin,0.9999745626816942,0.999972777802646,0.9999386250861944,0.9999073566245607,0.9999483305487737
sna,0.9999769965457806,0.9999350692462785,0.9999680857080498,0.9999021800270078,0.9999455828817791
xho,0.9999596980064539,0.9998243822009941,0.9999553477912302,0.9999687861039923,0.9999270535256677
bam,0.9999205286464476,0.9999371039943434,0.9999194761569536,0.9999213838919886,0.9999246231724334
mos,0.9999426156553733,0.9999266772338337,0.9999239305191959,0.9998959490471251,0.999922293113882
luo,0.9999506679659925,0.999872328851341,0.9999162002083347,0.9999390395355816,0.9999195591403125
twi,0.9999213124867539,0.9999465951503886,0.9999467007499987,0.9998615892396784,0.999919049406705
zul,0.9998823968860874,0.9999071113403468,0.9999467289476268,0.9999198579055485,0.9999140237699023
tsn,0.9998893382553938,0.9999038915986393,0.9999333373672588,0.999919384414149,0.9999114879088602
ibo,0.9999394725175946,0.9999414223888041,0.9998698005737747,0.9998921956070381,0.9999107227718029
swa,0.999896000719193,0.9998979975161717,0.9999126120004891,0.9999072509539151,0.9999034652974421
wol,0.9998895085999966,0.9998739617266731,0.9999529023638039,0.999845262645872,0.9998904088340863
ewe,0.9998711297590293,0.9998782639475623,0.9999010730478531,0.9999032558983507,0.9998884306631989
bbj,0.9998394711862035,0.999912779962021,0.9998634239602083,0.9997981754952766,0.9998534626509273
pcm,0.9998108146147426,0.999854420514965,0.9998222643947409,0.9998271740145456,0.9998286683847485
fon,0.9998703676665157,0.9998086833643476,0.999917887719958,0.9996977844213306,0.9998236807930381
yor,0.9997958668535292,0.9998248963150067,0.9998471118070289,0.9997342709610754,0.9998005364841601
