,ORG,LOC,PER,DATE,Mean
kin,0.9959363526744398,0.9889995642017493,0.9912542601904059,0.9918602067406005,0.9920125959517989
twi,0.9952245793614214,0.9833113347496221,0.995065673881465,0.9900883572074951,0.9909224863000009
luo,0.9951715018583264,0.9818656582069355,0.9956333743805975,0.9868447775986969,0.9898788280111391
tsn,0.9948903341334622,0.977872146174472,0.9933132975995848,0.9923483152243565,0.9896060232829689
lug,0.9836318181084412,0.9862499811967248,0.9975265655311737,0.987944047045552,0.9888381029704729
ibo,0.9919482002274652,0.973936120346269,0.9942378524097893,0.9949766957913392,0.9887747171937157
ewe,0.9947162646338114,0.978165739640837,0.9945111377885383,0.9864629826190076,0.9884640311705485
sna,0.993827736598441,0.9741077473502358,0.9929160600536397,0.9915672479664468,0.9881046979921909
nya,0.9970140762207668,0.9762557090423668,0.9918909211191793,0.9868358076076692,0.9879991284974955
zul,0.9943795743675915,0.9739852913547438,0.9923838058286485,0.9867144602609458,0.9868657829529824
xho,0.9929568680276383,0.9672096187904217,0.9935647019361465,0.993035061310739,0.9866915625162364
swa,0.9849563051434165,0.9905090411102083,0.994875044550791,0.9737778870059257,0.9860295694525854
wol,0.9935110520903807,0.9644521761300773,0.993988033853351,0.9902275180124701,0.9855446950215698
pcm,0.9870763986596562,0.9831462879851857,0.9964701634027539,0.9686973245586766,0.9838475436515681
mos,0.9947218492368411,0.9571519391030014,0.994673963044203,0.9879921852160516,0.9836349841500243
yor,0.994002896221423,0.9611499392260741,0.9893252632880914,0.9891684436888006,0.9834116356060972
bam,0.9860510824970046,0.9669983215970375,0.9929721242295867,0.982201669354034,0.9820557994194157
bbj,0.9902480480051233,0.9550831646012072,0.9961998247864637,0.9823167454996126,0.9809619457231018
fon,0.9910969573101726,0.9563871509113241,0.9947680781529129,0.9754797230204816,0.9794329773487228
hau,0.9893522336174765,0.9573424207605061,0.9942706000465935,0.9762698791671345,0.9793087833979276
