,PER,ORG,DATE,LOC,Mean
twi,0.9741716339472118,0.9836655697740673,0.9675747246123888,0.9607198136963009,0.9715329355074922
kin,0.9601135660666809,0.9807640560395192,0.9709860578722456,0.9608045941468896,0.9681670685313337
lug,0.9879575435621537,0.9535851639794592,0.9625881556531204,0.967883679849467,0.9680036357610501
nya,0.9740395624840601,0.9839809879229094,0.9605743305606402,0.9442080987856301,0.9657007449383099
sna,0.9769449983378313,0.9728874889988859,0.9769146117542536,0.935245231308729,0.965498082599925
luo,0.9676285119043311,0.979137148245468,0.954892060323591,0.9601835468304936,0.9654603168259709
ibo,0.9762910171057086,0.9656678379093552,0.9794266255032879,0.9243692079091343,0.9614386721068715
xho,0.9696191342994219,0.9727373039706366,0.9710326531912953,0.930542128183568,0.9609828049112306
zul,0.9650967104919892,0.9770568947373379,0.9635187902597853,0.9358372378084745,0.9603774083243968
tsn,0.9667404076479633,0.9725559685038782,0.9675394877179755,0.9317645528550293,0.9596501041812115
ewe,0.9687379060627539,0.9774708744915379,0.95433766242837,0.9373788500497284,0.9594813232580977
mos,0.9790250520752172,0.9753864045527192,0.9575503347375913,0.9230706744856557,0.9587581164627959
wol,0.9764804346533182,0.9786366986352388,0.9580763859290319,0.9174052064455887,0.9576496814157944
bam,0.9664427552825481,0.9570002176161355,0.955706145168926,0.9291047096408546,0.952063456927116
swa,0.9679874170959717,0.9468025092749873,0.9101957072476577,0.9538675775767361,0.9447133027988381
bbj,0.9715089896069046,0.9687081134218384,0.9360221224910076,0.9002309435199146,0.9441175422599163
yor,0.9547510803823654,0.9720306498047655,0.9498802087394409,0.8985737403178186,0.9438089198110975
fon,0.9756807814668923,0.9679196665154197,0.9259984629096915,0.9030793176889953,0.9431695571452496
hau,0.9708310063582966,0.9727540295651252,0.9018439623754232,0.9010210343001531,0.9366125081497495
pcm,0.9786767469373415,0.9309301761797968,0.8861189801864869,0.9409401406870085,0.9341665109976585
