,DATE,LOC,ORG,PER,Mean
kin,0.9992735019685127,0.999073636517375,0.9996654212261372,0.9996666985628142,0.9994198145687098
twi,0.9992717107968266,0.9989588927551588,0.9997265836514683,0.9995757688612781,0.999383239016183
ibo,0.9996063259608302,0.9985675554573328,0.9995819095239925,0.9996795409074593,0.9993588329624037
luo,0.99895786995697,0.9990519843022704,0.999618542837872,0.9997395047074269,0.9993419754511348
lug,0.9991773069544438,0.9993692471892922,0.9989038582395988,0.9998180352473057,0.9993171119076601
swa,0.9985032400424685,0.999238954518631,0.9995002085402965,0.9997860026794203,0.9992571014452041
zul,0.9990998735437353,0.9984863603596146,0.9995694536702838,0.9995192659175246,0.9991687383727896
sna,0.9992569515792867,0.9985254733088643,0.9994990332356309,0.9991872952417892,0.9991171883413928
tsn,0.9988257548008657,0.9986366635162981,0.9992927280320503,0.9995804972831714,0.9990839109080963
wol,0.9991237923098675,0.9979332183858158,0.9995287648533767,0.9996090796952027,0.9990487138110657
xho,0.9995376538250622,0.9979695022144759,0.9995163987995684,0.999149279790268,0.9990432086573436
ewe,0.9983045419668937,0.9985502494074477,0.9995417866543889,0.9995186944557919,0.9989788181211305
nya,0.999001000037044,0.9985622475504758,0.9997753269643816,0.9985194578472534,0.9989645080997887
mos,0.998878432605952,0.9973945686656869,0.999645003761647,0.9997538079716525,0.9989179532512346
pcm,0.997847011297781,0.9986341931267406,0.9993583623374683,0.9997215250850834,0.9988902729617684
hau,0.9989917417666196,0.9977050435862898,0.9993074242126253,0.9995288457366032,0.9988832638255345
bam,0.9985817557629458,0.9981109054646243,0.9990338693424216,0.9994958649936228,0.9988055988909037
fon,0.9983198635969183,0.9974771857956011,0.9995618559029508,0.9993581732243844,0.9986792696299636
bbj,0.9985987848882099,0.9970412270526536,0.9994244310375857,0.9995988125391788,0.998665813879407
yor,0.9990200929131814,0.9969039279586703,0.9996094750492087,0.9988885266309934,0.9986055056380135
