,PER,ORG,LOC,DATE,Mean
bam,0.9997298930724172,0.998662476307883,0.9993357720217872,0.996947182035802,0.9986688308594723
ewe,0.9983977855839414,0.9995025056573419,0.9986561872415497,0.9975118295709758,0.9985170770134522
pcm,0.9994929371506911,0.9997560504412569,0.9996300915334689,0.9928026530020104,0.9979204330318568
hau,0.9998079869339828,0.999694283649314,0.9967326671033413,0.995348814558266,0.997895938061226
swa,0.9995793352820237,0.9995752820968913,0.9996590071628562,0.9927036812039379,0.9978793264364273
yor,0.9989087842989817,0.9996466289504056,0.9987982210134349,0.9931972343327189,0.9976377171488853
ibo,0.9995617221410172,0.9996969596048412,0.999699597173697,0.9913873914042391,0.9975864175809487
mos,0.9998079904409531,0.9997606021413609,0.9995644815323689,0.9909552710598135,0.997522086293624
twi,0.9994617954661446,0.9998022473691366,0.999536649361342,0.9907142620419983,0.9973787385596554
tsn,0.999633721653681,0.9991403452974534,0.9984825915153009,0.9920868707360752,0.9973358823006276
luo,0.9985521407559255,0.9997925495946108,0.9998618943447539,0.9903645328802382,0.9971427793938821
bbj,0.9996073240943726,0.9992835950975019,0.9987354840255651,0.9908561337712968,0.997120634247184
nya,0.9987003552323206,0.9998975391136214,0.9998488262407267,0.9899143548541401,0.9970902688602021
sna,0.9994662992907392,0.9997974074183721,0.9997923013514342,0.9888541471471839,0.9969775388019324
lug,0.9999175316897617,0.9998210949186596,0.9991706895979408,0.9888943154628665,0.9969509079173072
kin,0.9999058442512835,0.9987491138545539,0.9997798893912754,0.9880394036120905,0.9966185627773009
wol,0.9994878856699894,0.9991759275383149,0.995172649078756,0.9882892488313336,0.9955314277795985
xho,0.9958783503148911,0.9956758913704488,0.9916402173713542,0.997570948773363,0.9951913519575143
zul,0.9950573360239557,0.9968336695754121,0.9913507722301048,0.9969597064383531,0.9950503710669565
fon,0.9949836337218309,0.9988069440652074,0.9982993395532751,0.9874550537419378,0.9948862427705628
