,PER,ORG,DATE,LOC,Mean
lug,0.9810484,0.9701555,0.9208319,0.9669452,0.9597452
kin,0.95610976,0.9449405,0.9193523,0.94518524,0.94139695
nya,0.9524765,0.9268612,0.90560657,0.9049525,0.9224742
xho,0.8826581,0.93437356,0.93391305,0.9148252,0.91644245
sna,0.9049993,0.9250897,0.92023444,0.91006726,0.9150977
zul,0.9248921,0.9144413,0.8727331,0.92259586,0.90866566
luo,0.94178396,0.9065258,0.87717736,0.9023613,0.90696216
tsn,0.9261979,0.9003352,0.86913794,0.85493946,0.88765264
wol,0.9036731,0.8965049,0.85535866,0.8622675,0.87945104
hau,0.8759471,0.8652147,0.89090776,0.85514486,0.87180364
ibo,0.8798541,0.8595839,0.8588897,0.88147926,0.8699517
twi,0.9119888,0.85907626,0.80721915,0.8408142,0.8547746
bam,0.8831621,0.827685,0.86576295,0.8398055,0.8541039
mos,0.86534584,0.83843744,0.80633426,0.8041546,0.82856804
swa,0.8797134,0.8063725,0.79778814,0.7780192,0.8154733
ewe,0.8537684,0.8189744,0.7849823,0.7967094,0.81360865
pcm,0.8594004,0.7754783,0.71959937,0.7721838,0.78166544
fon,0.8118684,0.7776464,0.7068658,0.76749396,0.7659686
yor,0.7465618,0.72251916,0.7289294,0.7187859,0.72919905
bbj,0.7783469,0.6886906,0.6951251,0.68848574,0.7126621
