,LOC,PER,ORG,DATE,Mean
lug,0.55841756,0.68768287,0.6144504,0.5618508,0.6056004
kin,0.5610877,0.6136946,0.60847557,0.570768,0.58850646
nya,0.50277096,0.6401212,0.59436595,0.52993363,0.5667979
luo,0.53731596,0.63502085,0.55671525,0.51063895,0.55992275
xho,0.52251023,0.5452192,0.5760798,0.5819373,0.55643666
twi,0.5193017,0.6190188,0.5768769,0.50133437,0.55413294
sna,0.5385828,0.5265858,0.57701564,0.5706587,0.55321074
ibo,0.53208524,0.5998275,0.5268179,0.52298164,0.54542804
tsn,0.47197923,0.6037447,0.5652747,0.5211313,0.54053247
wol,0.5028368,0.59216154,0.5655588,0.4976731,0.5395576
swa,0.49316975,0.6259348,0.5272299,0.5036601,0.5374986
zul,0.505031,0.55392313,0.5661749,0.5122484,0.5343443
hau,0.47447687,0.57278043,0.5371963,0.5127971,0.5243127
bam,0.5122773,0.5629728,0.507093,0.48055965,0.5157257
pcm,0.4761166,0.61755896,0.5288539,0.3938198,0.5040873
ewe,0.4685033,0.5625596,0.5308543,0.4481369,0.50251347
mos,0.4595636,0.5544526,0.54205585,0.41767347,0.49343637
fon,0.45066288,0.54621696,0.52415806,0.40608865,0.4817816
bbj,0.4012049,0.54391015,0.4574948,0.4092894,0.4529748
yor,0.4075094,0.48064622,0.43597457,0.4392156,0.44083643
