,PER,DATE,ORG,LOC,Mean
kin,0.9996146,0.99919033,0.9995635,0.9988298,0.9992996
lug,0.99984586,0.9991103,0.99955654,0.99861366,0.9992816
nya,0.9996741,0.99877864,0.9995723,0.9984933,0.99912953
sna,0.9992368,0.99909264,0.9993907,0.9987845,0.9991262
luo,0.99957144,0.99903214,0.999226,0.9984914,0.9990802
wol,0.9994546,0.9990147,0.9990584,0.9984817,0.9990024
tsn,0.9995659,0.9990792,0.99933165,0.9978489,0.99895644
ibo,0.9995011,0.99894625,0.9988469,0.99823695,0.99888283
twi,0.99956113,0.99844784,0.9992377,0.99782324,0.9987675
xho,0.99898237,0.9985862,0.99910176,0.9983069,0.99874425
zul,0.99921906,0.99852276,0.9991445,0.99799025,0.9987191
ewe,0.99952525,0.9982026,0.99913836,0.99782974,0.998674
mos,0.99934494,0.997909,0.999033,0.99784666,0.99853337
pcm,0.9996068,0.99707687,0.9990917,0.9983059,0.99852026
swa,0.99946654,0.9977355,0.9987292,0.99798894,0.99848
bam,0.9993066,0.998084,0.9983368,0.99810624,0.99845845
hau,0.99936897,0.9971695,0.9986876,0.9979495,0.9982939
yor,0.99890196,0.99817705,0.99823105,0.99726707,0.99814427
fon,0.99935025,0.9962488,0.9987879,0.997185,0.997893
bbj,0.9994201,0.9970844,0.99790704,0.9970005,0.997853
