,PER,LOC,DATE,ORG,Mean
lug,0.8734442,0.84684944,0.767725,0.8293381,0.82933915
kin,0.8342099,0.7879496,0.7811564,0.8453193,0.8121588
luo,0.8384192,0.7937932,0.7550957,0.8501339,0.8093605
ibo,0.8246942,0.7536918,0.7973102,0.84094167,0.80415946
twi,0.8008334,0.7835665,0.77563024,0.8494251,0.8023638
tsn,0.83074415,0.7658428,0.75909305,0.82912874,0.7962022
swa,0.83234704,0.79277754,0.7171046,0.83418083,0.7941025
nya,0.78594595,0.74263155,0.74920285,0.85786307,0.7839109
pcm,0.826208,0.768522,0.70937514,0.82937276,0.78336954
wol,0.81461614,0.7272761,0.7639826,0.8117907,0.7794164
hau,0.81130975,0.7169564,0.7563388,0.7997384,0.77108586
ewe,0.7898193,0.7407819,0.73062855,0.8196585,0.77022207
mos,0.8218224,0.70735514,0.7311393,0.8204771,0.77019846
sna,0.7428266,0.7407776,0.7752408,0.81677043,0.76890385
bbj,0.81371456,0.7159629,0.73688364,0.80765736,0.76855457
zul,0.7696829,0.7366369,0.7562073,0.81040114,0.76823205
xho,0.7864405,0.7248213,0.8018137,0.75982356,0.7682248
fon,0.7943197,0.7273778,0.7160958,0.8173995,0.76379824
bam,0.8063236,0.73586065,0.73262477,0.7733456,0.7620386
yor,0.7655535,0.71462756,0.7625135,0.7869892,0.7574209
