,PER,DATE,LOC,ORG,Mean
ewe,0.99939007,0.9968746,0.99912184,0.9995063,0.9987232
tsn,0.9988478,0.9962287,0.9994732,0.9997967,0.9985866
hau,0.9993683,0.9964452,0.9992522,0.9989869,0.99851316
wol,0.99962175,0.9948488,0.99908006,0.9995959,0.99828666
luo,0.99989283,0.99396473,0.99950725,0.99973357,0.99827456
bam,0.9989619,0.9965441,0.99840003,0.9989686,0.99821866
lug,0.99994254,0.9939646,0.99864393,0.9998209,0.998093
sna,0.9986942,0.99472994,0.9987783,0.99987185,0.9980186
swa,0.9994116,0.99378055,0.9989869,0.9995509,0.9979325
mos,0.99964213,0.9938562,0.9987328,0.99947596,0.9979268
pcm,0.9997519,0.99184364,0.99915636,0.9995033,0.9975638
yor,0.9990334,0.9930589,0.9987671,0.9993037,0.99754083
kin,0.99988747,0.9911963,0.999002,0.9997356,0.9974553
nya,0.9972589,0.99315614,0.9991445,0.99985886,0.9973546
xho,0.99506843,0.9977774,0.9985458,0.99660516,0.9969992
twi,0.99937207,0.990733,0.9985012,0.9993022,0.99697715
ibo,0.9997322,0.9884006,0.9980758,0.99944425,0.9964132
zul,0.9969236,0.9990673,0.990374,0.9984558,0.9962052
bbj,0.999232,0.98830456,0.9958995,0.9986445,0.9955201
fon,0.99686146,0.99087155,0.99714476,0.9967465,0.9954061
