,ORG,LOC,PER,DATE,Mean
lug,0.90743023,0.7931842,0.9309571,0.61083406,0.8106014
kin,0.8680816,0.8811762,0.8673599,0.60082185,0.8043599
hau,0.8473036,0.81138885,0.8619312,0.6504486,0.79276806
wol,0.83063877,0.82859075,0.85399455,0.603726,0.7792375
ibo,0.8581939,0.80354285,0.8301163,0.6002774,0.7730326
ewe,0.8423234,0.8079097,0.7833264,0.6415892,0.76878715
twi,0.8590185,0.77886724,0.81740373,0.6073913,0.76567024
swa,0.8351356,0.7537782,0.8513441,0.6181382,0.7645991
mos,0.8368614,0.7550094,0.851568,0.6052778,0.76217914
pcm,0.8623054,0.75089324,0.8167371,0.61685425,0.7616975
sna,0.8963947,0.8009715,0.7153832,0.62597114,0.7596801
tsn,0.8098186,0.8135495,0.7868577,0.62385005,0.758519
luo,0.87526524,0.75575763,0.79914296,0.6030841,0.75831246
bbj,0.7993073,0.7538125,0.83174753,0.603527,0.74709857
bam,0.76192296,0.7501118,0.8490324,0.62585104,0.7467296
nya,0.895972,0.77601993,0.69424665,0.604178,0.74260414
yor,0.8053214,0.75541604,0.7591727,0.62287766,0.7356969
xho,0.68082464,0.73199755,0.67299867,0.7449342,0.7076888
zul,0.71961683,0.6839267,0.70785683,0.6973084,0.70217717
fon,0.7543819,0.74870193,0.6924044,0.5982815,0.69844246
