,PER,ORG,LOC,DATE,Mean
lug,0.94798756,0.892197,0.7736631,0.64045674,0.8135761
kin,0.8921329,0.88816464,0.79686487,0.62438685,0.80038726
wol,0.84738463,0.85163367,0.84444386,0.6324784,0.7939851
tsn,0.7791678,0.8795842,0.83515465,0.6616058,0.7888781
hau,0.83090687,0.8183247,0.8119722,0.6830286,0.78605807
luo,0.88962483,0.86346966,0.7515277,0.63212633,0.78418714
ewe,0.82066816,0.84836996,0.7929324,0.65618044,0.7795377
mos,0.8664579,0.8401772,0.7768438,0.6318102,0.77882224
pcm,0.8327023,0.85228264,0.7988678,0.63095677,0.7787024
swa,0.84372544,0.85641396,0.75472015,0.64479864,0.7749145
ibo,0.86435056,0.8274507,0.7770813,0.618603,0.7718714
twi,0.8558829,0.8272917,0.7605986,0.6271434,0.76772916
sna,0.7122416,0.8805399,0.7875409,0.6541746,0.75862426
nya,0.7390418,0.86240363,0.7669866,0.62835723,0.7491973
bam,0.7906747,0.79915524,0.7408306,0.66240764,0.74826705
yor,0.76025,0.8067218,0.7660961,0.6518003,0.746217
bbj,0.82664776,0.7986027,0.7161232,0.62220937,0.74089575
xho,0.6802623,0.71792686,0.76356864,0.7576628,0.7298552
fon,0.7020203,0.7773851,0.7517621,0.6224482,0.71340394
zul,0.69217265,0.7493775,0.6456349,0.73628104,0.70586646
