nke dị n'Umuziaka ebe ha
ichu mmiri n'Ekwashi ọsọ .
mmiri """" Ebenyi River """"
"""" Ebenyi River """" nke
na steetị Ebonyi .
ọgbụgba n'ala Nigeria , bụkwa
okporpo ụzọ Malinze - Ugwuorie
ụzọ Malinze - Ugwuorie -
Malinze - Ugwuorie - Ụmụike
Ugwuorie - Ụmụike - Ezinifite
- Ụmụike - Ezinifite gachighara
Ụmụike - Ezinifite gachighara n'ihu
na ndị Igboukwu nile n'ihi
ọ bụ n'Igboukwu ka o
Parish """" Igboukwu .
kelekwaa ndị Umuchu Alanso na
ndị Umuchu Alanso na ndị
fada izizi n'Umuchu zuputakwara sista
sista izizi n'Umuchu bụ Rev
- Omenife Umuchu nyere ekene
( Akaraugo Umuchu ) .
e nwere n'Umuchu ma bụrụkwa
Ukwu Agbalanze Umuchu , Alloy
na steetị Anambra bụ Izunna
na steetị Anambra zitere ndị
School , Awka , St
God , Awka , Unizik
School , Awka , Kenneth
School , Awka gbara ndị
A bịa n'Awka , isi
obodo steetị Anambra , ụlọ
Cathedral , Awka .
) , Onitsha """" bụ
ndị nọ n'Awka tụkwaara Chineke
Azikiwe dị n'Awka ma bụrụ
. C Onitsha ( old
iche dị n'Awka zukọtara na
na """" St Patrick Cathedral
"""" St Patrick Cathedral """"
St Patrick Cathedral """" ka
ahụ hafee Nigeria n'aka Chineke
n'okporo ụzọ Ezira - Ụm
Ezira - Ụm """" ụọmakụ
- Ụm """" ụọmakụ -
Ụm """" ụọmakụ - Enugwu
ụọmakụ - Enugwu - Ụmụọnyịa
- Enugwu - Ụmụọnyịa -
Enugwu - Ụmụọnyịa - Achịna
Ụmụọnyịa - Achịna , bụ
weere ọnọdụ n'Awka bụ isi
obodo steeti Anambra ma bụrụkwa
gọvanọ dị n'Amawbịa , ma
ọchịchị steeti Anambra maka inye
Ilomụanya nke Ụtụh na Igwe
Onyedịrị nke Lilu , bụ
gọọmenti steeti Anambra maka inye
akụkọ n'ala Nigeria bụ """"
nke steeti Anambra , amalitela
ahụ n'ala Nigeria , bụ
