,PER,LOC,DATE,ORG,Mean
lug,0.9662495,0.9965242,0.9876558,0.99232274,0.9856881
kin,0.95976526,0.9948749,0.9887042,0.9905526,0.98347425
nya,0.962468,0.99271774,0.9860159,0.9914777,0.98316985
sna,0.9593692,0.9917536,0.9903159,0.9888545,0.9825733
xho,0.943398,0.9890038,0.9908567,0.9873314,0.9776475
zul,0.9580829,0.9878931,0.98290765,0.9810134,0.9774742
tsn,0.9525845,0.98391056,0.98478186,0.9880835,0.9773401
luo,0.9550538,0.98872894,0.9804106,0.984049,0.9770606
hau,0.9555971,0.97804976,0.98592854,0.9759824,0.97388947
wol,0.9545027,0.98156124,0.977224,0.98062694,0.9734788
swa,0.9516976,0.9778616,0.97632784,0.9791215,0.97125214
ibo,0.9546963,0.9842297,0.9693888,0.96833825,0.96916324
twi,0.951914,0.9736186,0.9636532,0.9801961,0.9673455
bam,0.94933677,0.97246593,0.9801416,0.9620385,0.9659957
ewe,0.94165456,0.9699584,0.96684045,0.9721425,0.962649
mos,0.95153093,0.9573797,0.96790373,0.97348654,0.9625752
yor,0.93479586,0.9535727,0.94825757,0.9552407,0.9479667
pcm,0.937069,0.94955564,0.9254673,0.95147586,0.9408919
fon,0.9308508,0.9410336,0.88815606,0.9470428,0.9267708
bbj,0.92302233,0.87871337,0.9201447,0.9140918,0.90899307
