,ORG,PER,LOC,DATE,Mean
lug,0.61171263,0.42920715,0.6648774,0.53457344,0.5600927
kin,0.6127589,0.45870045,0.57511085,0.5699173,0.55412185
luo,0.615885,0.44529766,0.5749838,0.5441041,0.54506767
swa,0.6252898,0.4500443,0.57767934,0.5085336,0.5403868
twi,0.61233693,0.4428038,0.5563533,0.5259449,0.53435975
ibo,0.5979582,0.4282951,0.52973366,0.57098436,0.5317428
tsn,0.5804165,0.45575294,0.5005396,0.5468701,0.52089477
nya,0.6152994,0.42894745,0.5086855,0.5235972,0.51913244
sna,0.59422225,0.40103826,0.4925868,0.5885366,0.519096
xho,0.54343724,0.45956331,0.44135612,0.6246614,0.51725453
wol,0.59656847,0.45058185,0.47026175,0.5482979,0.5164275
hau,0.5771365,0.44089824,0.47076234,0.5674696,0.5140667
fon,0.59524,0.43766433,0.5022814,0.5092487,0.51110864
zul,0.5794356,0.42016456,0.49946433,0.54345185,0.51062906
ewe,0.58656365,0.44375134,0.5684001,0.43718323,0.50897455
bam,0.5482173,0.42658836,0.5338727,0.5129898,0.50541705
mos,0.60199594,0.43820912,0.4877639,0.4625814,0.49763757
pcm,0.58386827,0.4409184,0.55463314,0.40553808,0.49623948
bbj,0.5193131,0.4511801,0.4321895,0.45443183,0.46427864
yor,0.5094806,0.37585923,0.40078038,0.49399024,0.4450276
