,LOC,PER,DATE,ORG,Mean
kin,0.7102967,0.5701949,0.6915277,0.6811488,0.66329205
lug,0.72035366,0.56859344,0.6807048,0.6680279,0.65941995
nya,0.6897203,0.5690651,0.664451,0.691006,0.6535606
sna,0.68265045,0.5675738,0.6980459,0.6650708,0.6533352
xho,0.65220034,0.55567557,0.70746887,0.64529365,0.6401596
luo,0.66755116,0.5656923,0.637041,0.658021,0.6320764
tsn,0.63446456,0.5632969,0.65756166,0.6579241,0.6283118
hau,0.6361798,0.5676019,0.66873276,0.6370458,0.6273901
twi,0.6423548,0.5672469,0.6249996,0.6617417,0.6240857
zul,0.6482063,0.56625396,0.6465471,0.6328698,0.6234693
wol,0.6369973,0.5661474,0.6427009,0.6366013,0.6206117
swa,0.63349247,0.56664366,0.6323476,0.64976287,0.62056166
ibo,0.66418415,0.55926216,0.6352936,0.60553825,0.61606956
bam,0.6408066,0.5540153,0.63687235,0.6065599,0.60956347
mos,0.60493475,0.55982053,0.60724646,0.63061047,0.60065305
ewe,0.6089397,0.5491396,0.61085933,0.62363034,0.59814227
yor,0.5813589,0.54672354,0.5784335,0.59034073,0.5742142
fon,0.5854442,0.5447739,0.5509189,0.6097249,0.5727154
pcm,0.5814851,0.56186223,0.53513557,0.6025125,0.57024884
bbj,0.52629143,0.55053884,0.5615726,0.5595456,0.5494871
