,ORG,DATE,PER,LOC,Mean
lug,0.83411765,0.7671715,0.6222481,0.8450526,0.7671474
kin,0.8353628,0.78143764,0.6236704,0.77883697,0.75482696
luo,0.83004713,0.7652452,0.6279678,0.787297,0.7526393
twi,0.8328064,0.7752783,0.62590075,0.7736428,0.75190705
ibo,0.8256737,0.79307544,0.623638,0.7489786,0.7478414
swa,0.8258034,0.71946555,0.62738717,0.7826297,0.73882145
nya,0.83446014,0.75866485,0.6242372,0.73445356,0.7379539
sna,0.8085366,0.7742355,0.621418,0.7431339,0.73683095
pcm,0.81925166,0.71172047,0.62904376,0.76620626,0.7315555
xho,0.7642968,0.80432814,0.6236481,0.7277341,0.7300018
ewe,0.8074336,0.7369114,0.63151884,0.74321973,0.7297709
zul,0.79587185,0.7557318,0.61843646,0.74779904,0.72945976
wol,0.79940134,0.7630323,0.6236034,0.72823405,0.7285678
yor,0.7846137,0.7681782,0.62360656,0.724787,0.7252964
hau,0.7915143,0.7588643,0.62634647,0.72408915,0.7252035
tsn,0.7459171,0.7561611,0.6275584,0.7668921,0.7241322
fon,0.7943305,0.7318196,0.628713,0.7346414,0.7223761
mos,0.8011827,0.7452315,0.62347233,0.7142446,0.7210328
bbj,0.7738706,0.74530375,0.62612075,0.7221918,0.71687174
bam,0.7573754,0.743025,0.621562,0.7200307,0.71049833
