,ORG,DATE,PER,LOC,Mean
lug,0.9999796,0.9999608,0.9997793,0.9999875,0.9999268
luo,0.99998194,0.9998679,0.99979615,0.99996525,0.9999028
tsn,0.9999773,0.9998875,0.9997955,0.9999423,0.99990064
kin,0.9999763,0.99990654,0.99978906,0.9999225,0.9998986
nya,0.9999772,0.99992454,0.99977905,0.9999031,0.99989593
zul,0.9999733,0.9999338,0.99975026,0.999893,0.9998875
twi,0.99997485,0.99983394,0.9997497,0.99996805,0.9998816
swa,0.9999317,0.99985564,0.9997529,0.99997574,0.999879
wol,0.99996835,0.99986744,0.9997497,0.99991447,0.99987495
bam,0.99993205,0.9998727,0.9997475,0.999932,0.9998711
mos,0.9999652,0.9998678,0.99974775,0.999885,0.9998665
sna,0.9999811,0.9998198,0.9997112,0.999944,0.99986404
xho,0.999967,0.9998621,0.9997932,0.9997756,0.9998495
ewe,0.99997085,0.9997418,0.9996518,0.99992573,0.9998225
yor,0.99993503,0.99977225,0.99967986,0.9998113,0.9997996
ibo,0.9998377,0.9997163,0.9997799,0.99984324,0.99979424
bbj,0.9999524,0.9994814,0.9997854,0.9998091,0.99975705
pcm,0.9999367,0.9998751,0.9994114,0.99940205,0.9996563
fon,0.999961,0.99988836,0.9997799,0.99774677,0.999344
hau,0.99881524,0.9914753,0.9996315,0.9932123,0.99578357
