,ORG,PER,LOC,DATE,Mean
lug,0.97318083,0.9873963,0.9885076,0.8803681,0.95736325
kin,0.97107255,0.9646691,0.9348927,0.9166805,0.9468287
luo,0.973084,0.9831786,0.93541145,0.88892424,0.94514954
ibo,0.9679993,0.9680211,0.8869029,0.9194815,0.9356012
twi,0.97398984,0.9730528,0.92104065,0.8643967,0.93312
swa,0.9729489,0.965771,0.94376326,0.8452742,0.93193936
nya,0.97271585,0.9728019,0.8539407,0.8602463,0.9149262
tsn,0.9406339,0.96095914,0.8494127,0.8872965,0.9095755
sna,0.9511386,0.9234144,0.8269023,0.9293706,0.90770644
bam,0.91303915,0.96333945,0.89329076,0.8440635,0.9034332
wol,0.9554057,0.95920295,0.79786426,0.8917496,0.90105563
ewe,0.95058954,0.9747458,0.9359814,0.74025685,0.90039337
fon,0.95401746,0.9558511,0.8491112,0.8424927,0.9003681
hau,0.937026,0.96232665,0.78887045,0.90924495,0.89936703
zul,0.93866515,0.91471684,0.84140694,0.8869363,0.8954313
pcm,0.95823246,0.97972953,0.9226867,0.6813561,0.88550115
xho,0.89037585,0.9524031,0.7408204,0.95273566,0.88408375
mos,0.95472294,0.9705895,0.8204527,0.7783847,0.8810375
bbj,0.8794614,0.96779424,0.7366986,0.76634836,0.8375757
yor,0.86143196,0.83160055,0.67953265,0.8280567,0.8001555
