,LOC,ORG,DATE,PER,Mean
lug,0.9715475,0.9681537,0.9306389,0.9796868,0.9625067
kin,0.9417813,0.93300664,0.92064285,0.95147336,0.936726
nya,0.90693325,0.91196555,0.9101702,0.95444185,0.9208777
xho,0.9169747,0.9272242,0.93208617,0.890739,0.91675603
sna,0.9101608,0.9097867,0.9234696,0.891658,0.9087688
zul,0.9000798,0.9048627,0.86779964,0.9208182,0.89839005
luo,0.90292346,0.87715864,0.8754226,0.9363852,0.89797246
tsn,0.85207295,0.889313,0.87230057,0.926903,0.8851474
wol,0.8635176,0.8927394,0.84380364,0.9042789,0.8760849
ibo,0.8849934,0.84260607,0.8571502,0.8857063,0.86761403
hau,0.846573,0.855415,0.8840157,0.8704496,0.86411333
twi,0.85227907,0.8591702,0.8151114,0.9130038,0.8598912
bam,0.8433291,0.8306078,0.8574308,0.8780494,0.8523543
mos,0.79874516,0.8375559,0.79287827,0.85116875,0.82008696
ewe,0.8023912,0.8254044,0.7858665,0.8427259,0.8140969
swa,0.765499,0.7851597,0.8118063,0.87843364,0.81022465
pcm,0.7675892,0.77208847,0.71958673,0.8580787,0.7793358
fon,0.77040184,0.7804656,0.6968138,0.81160295,0.76482105
yor,0.71662664,0.7069266,0.7377572,0.7483961,0.72742665
bbj,0.69052815,0.7144009,0.69050974,0.78580296,0.72031045
